원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,공시분기,값,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2023.3Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2023.2Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2023.1Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2025.1Q,-6064,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2024.4Q,-1716,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2024.3Q,-1662,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2024.2Q,-820,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2024.1Q,-4,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2023.4Q,4784,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2023.3Q,2415,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2023.2Q,514,,,,
KR0001,메리츠화재해상보험,60,손해보험,9,5. 기타포괄손익누계액,2023.1Q,-407,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2025.1Q,144,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2024.4Q,138,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2024.3Q,129,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2024.2Q,130,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2024.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2023.4Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2023.3Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2023.2Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,10,6. 비지배지분,2023.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2025.1Q,62794,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2024.4Q,67395,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2024.3Q,68993,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2024.2Q,69428,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2024.1Q,70758,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2023.4Q,69061,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2023.3Q,70594,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2023.2Q,64385,,,,
KR0001,메리츠화재해상보험,60,손해보험,11,7. 조정준비금,2023.1Q,64612,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2025.1Q,171,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2024.4Q,5318,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2024.3Q,174,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2024.2Q,1675,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2024.1Q,203,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.4Q,6563,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.3Q,235,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.2Q,242,,,,
KR0001,메리츠화재해상보험,60,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,257,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2025.1Q,72018,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2024.4Q,72470,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2024.3Q,71791,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2024.2Q,72077,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2024.1Q,72287,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.4Q,70634,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.3Q,72923,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.2Q,65919,,,,
KR0001,메리츠화재해상보험,60,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,65626,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2025.1Q,55434,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2024.4Q,54449,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2024.3Q,55329,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2024.2Q,58689,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2024.1Q,57878,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.4Q,53463,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.3Q,57297,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.2Q,57900,,,,
KR0001,메리츠화재해상보험,60,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,56947,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2025.1Q,74685,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2024.4Q,73370,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2024.3Q,74365,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2024.2Q,78875,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2024.1Q,77793,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2023.4Q,71866,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2023.3Q,76587,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2023.2Q,77386,,,,
KR0001,메리츠화재해상보험,60,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,76123,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2025.1Q,27041,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2024.4Q,26280,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2024.3Q,25837,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2024.2Q,25791,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2024.1Q,25333,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.4Q,24499,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.3Q,24111,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.2Q,25275,,,,
KR0001,메리츠화재해상보험,60,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,24897,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2025.1Q,56079,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2024.4Q,55177,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2024.3Q,52598,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2024.2Q,52493,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2024.1Q,51923,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2023.4Q,54807,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2023.3Q,59904,,,,
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2023.2Q,59701,,,,1
KR0001,메리츠화재해상보험,60,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,58679,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2025.1Q,8380,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2024.4Q,7861,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2024.3Q,7998,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2024.2Q,8012,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2024.1Q,7659,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2023.4Q,6685,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2023.3Q,5321,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2023.2Q,5516,,,,
KR0001,메리츠화재해상보험,60,손해보험,18,2. 일반손해보험위험액,2023.1Q,5389,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2025.1Q,17448,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2024.4Q,15938,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2024.3Q,14839,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2024.2Q,14748,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2024.1Q,13983,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2023.4Q,13488,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2023.3Q,14385,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2023.2Q,15971,,,,
KR0001,메리츠화재해상보험,60,손해보험,19,3. 시장위험액,2023.1Q,17062,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2025.1Q,15579,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2024.4Q,16475,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2024.3Q,16922,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2024.2Q,16914,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2024.1Q,17434,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2023.4Q,17279,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2023.3Q,17035,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2023.2Q,17468,,,,
KR0001,메리츠화재해상보험,60,손해보험,20,4. 신용위험액,2023.1Q,15963,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2025.1Q,4239,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2024.4Q,4198,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2024.3Q,7845,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2024.2Q,12498,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2024.1Q,12128,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2023.4Q,4106,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2023.3Q,4054,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2023.2Q,4005,,,,
KR0001,메리츠화재해상보험,60,손해보험,21,5. 운영위험액,2023.1Q,3927,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2025.1Q,19301,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2024.4Q,18961,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2024.3Q,19082,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2024.2Q,20240,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2024.1Q,19962,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2023.4Q,18441,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2023.3Q,19333,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2023.2Q,19534,,,,
KR0001,메리츠화재해상보험,60,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,19216,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2025.1Q,51,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2024.4Q,41,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2024.3Q,46,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2024.2Q,54,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2024.1Q,47,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.4Q,38,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.3Q,43,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.2Q,49,,,,
KR0001,메리츠화재해상보험,60,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,40,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2025.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2024.4Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2024.3Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2024.2Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2024.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.4Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.3Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.2Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2025.1Q,51,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2024.4Q,41,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2024.3Q,46,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2024.2Q,54,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2024.1Q,47,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.4Q,38,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.3Q,43,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.2Q,49,,,,
KR0001,메리츠화재해상보험,60,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.1Q,40,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2025.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2024.4Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2024.3Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2024.2Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2024.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.4Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.3Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.2Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.1Q,0,,,,
KR0001,메리츠화재해상보험,60,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2025.1Q,238.92,,,,
KR0001,메리츠화재해상보험,60,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2024.4Q,248.24,,,,
KR0001,메리츠화재해상보험,60,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2024.3Q,257.01,,,,
KR0001,메리츠화재해상보험,60,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2024.2Q,224.76,,,,
KR0001,메리츠화재해상보험,60,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2024.1Q,226.89,,,,
KR0001,메리츠화재해상보험,60,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.4Q,242.22,,,,
KR0001,메리츠화재해상보험,60,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.3Q,230.77,,,,
