company,code,quarter,scr_eok,tier1_hybrid_limit_eok,tier1_hybrid_limit_strict_eok,tier1_hybrid_issued_eok,tier1_hybrid_excess_eok,tier1_hybrid_recognized_eok,tier1_hybrid_overflow_eok,utilization_pct,utilization_pct_strict,data_source,quality_flag,issued_source,excess_source,legacy_hybrid_transition_eok
하나손해보험,KR0050,2026.1Q,4626.0,693.9,462.6,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_transposed,missing,0.0
신한이지손해보험,KR0051,2026.1Q,536.0,80.4,53.6,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
삼성생명보험,KR0069,2026.1Q,392644.0,58896.6,39264.4,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_transposed,missing,0.0
에이비엘생명보험,KR0070,2026.1Q,16504.0,2475.6,1650.4,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
라이나생명보험,KR0074,2026.1Q,21059.0,3158.85,2105.9,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
비엔피파리바카디프생명보험,KR0075,2026.1Q,882.0,132.3,88.2,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
DB생명보험,KR0082,2026.1Q,14875.0,2231.25,1487.5,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_transposed,missing,0.0
신한라이프생명보험,KR0094,2026.1Q,50248.0,7537.2,5024.8,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_transposed,missing,0.0
메트라이프생명보험,KR0095,2026.1Q,18972.0,2845.8,1897.2,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
처브라이프생명보험,KR0100,2026.1Q,1293.0,193.95,129.3,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
서울보증보험,KR0150,2026.1Q,14151.0,2122.65,1415.1,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
교보라이프플래닛생명보험,KR1010,2026.1Q,721.0,108.15,72.1,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,
IBK연금보험,KR1011,2026.1Q,7196.0,1079.4,719.6,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
카카오페이손해보험,KR1098,2026.1Q,404.0,60.6,40.4,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,
롯데손해보험,KR0003,2026.1Q,20432.0,3064.8,2043.2,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
삼성화재해상보험,KR0008,2026.1Q,121976.0,18296.4,12197.6,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
KB손해보험,KR0010,2026.1Q,66638.0,9995.7,6663.8,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
미래에셋생명보험,KR0079,2026.1Q,22187.0,3328.05,2218.7,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
에이아이에이생명보험,KR0080,2026.1Q,15350.0,2302.5,1535.0,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
동양생명,KR0087,2026.1Q,22926.0,3438.9,2292.6,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
농협생명보험,KR0104,2026.1Q,32835.0,4925.25,3283.5,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
