company,code,quarter,scr_eok,tier1_hybrid_limit_eok,tier1_hybrid_limit_strict_eok,tier1_hybrid_issued_eok,tier1_hybrid_excess_eok,tier1_hybrid_recognized_eok,tier1_hybrid_overflow_eok,utilization_pct,utilization_pct_strict,data_source,quality_flag,issued_source,excess_source,legacy_hybrid_transition_eok
에이비엘생명보험,KR0070,2026.2Q,17279.0,2591.85,1727.9,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
라이나생명보험,KR0074,2026.2Q,20390.0,3058.5,2039.0,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
비엔피파리바카디프생명보험,KR0075,2026.2Q,1017.0,152.55,101.7,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
미래에셋생명,KR0079,2026.2Q,23962.0,3594.3,2396.2,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
에이아이에이생명보험,KR0080,2026.2Q,16431.0,2464.65,1643.1,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
DB생명보험,KR0082,2026.2Q,16248.0,2437.2,1624.8,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
동양생명,KR0087,2026.2Q,23768.0,3565.2,2376.8,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_transposed,missing,0.0
메트라이프생명보험,KR0095,2026.2Q,20894.0,3134.1,2089.4,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
처브라이프생명보험,KR0100,2026.2Q,1368.0,205.2,136.8,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
서울보증보험,KR0150,2026.2Q,14345.0,2151.75,1434.5,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
교보라이프플래닛생명보험,KR1010,2026.2Q,777.0,116.55,77.7,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,
IBK연금보험,KR1011,2026.2Q,7221.0,1083.15,722.1,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
카카오페이손해보험,KR1098,2026.2Q,426.0,63.9,42.6,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,
롯데손해보험,KR0003,2026.2Q,21111.0,3166.65,2111.1,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
NH농협손해보험,KR0032,2026.2Q,13443.0,2016.45,1344.3,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
삼성생명,KR0069,2026.2Q,622351.0,93352.65,62235.1,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
신한라이프생명보험,KR0094,2026.2Q,53761.0,8064.15,5376.1,,,,,,,scr_only,no_bs_hybrid_row,missing,missing,
