테이블,회사,분기,항목,유형,상세,검토 의견,,,,,
보완자본소진율,KB손해보험,2026.1Q,T2_UTIL_OVER_100_NO_EXEMPTION,RED,"보완자본 인정한도 소진율 218.42% >100% 이나 경과조치 면제표(기발행 신종/후순위)가 파싱 안 됨 (data_source=proxy, hybrid=None, sub=None) — 분자가 면제분 못 빼 부풀음 = artifact (KB손보 패턴). 면제표 추출 ",,,,,,
보완자본소진율,동양생명,2026.1Q,T2_UTIL_OVER_100_NO_EXEMPTION,RED,"보완자본 인정한도 소진율 240.23% >100% 이나 경과조치 면제표(기발행 신종/후순위)가 파싱 안 됨 (data_source=proxy, hybrid=None, sub=None) — 분자가 면제분 못 빼 부풀음 = artifact (KB손보 패턴). 면제표 추출 ",,,,,,
보완자본소진율,미래에셋생명보험,2026.1Q,T2_UTIL_OVER_100_NO_EXEMPTION,RED,"보완자본 인정한도 소진율 126.45% >100% 이나 경과조치 면제표(기발행 신종/후순위)가 파싱 안 됨 (data_source=proxy, hybrid=None, sub=None) — 분자가 면제분 못 빼 부풀음 = artifact (KB손보 패턴). 면제표 추출 ",,,,,,
보완자본소진율,신한이지손해보험,2026.1Q,T2_DENOM_NOT_SCR_HALF,RED,"보완자본 한도 분모 2.68억 ≠ SCR×50% 268억 (item14 SCR=536.0억). K-ICS 분모=SCR×50% (해설서 Ⅲ.2.마); 기본자본×100%는 RBC 구제도(p288), K-ICS 아님.",,,,,,
손익분해PL,교보라이프플래닛생명보험,2024.4Q,생명장기 손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,교보라이프플래닛생명보험,2024.4Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,교보라이프플래닛생명보험,2024.4Q,생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,교보라이프플래닛생명보험,2024.4Q,보험금융손익,MOLE/EXTRACTION_ERROR,"현재값=0.0 · 2025.4Q=-20,164인데 2024.4Q=0 — 의심이나 비교분기 1개뿐(약확신).",,,,,,
손익분해PL,교보생명보험,2024.4Q,원수예실차,MOLE/EXTRACTION_ERROR,"현재값=0.0 · 대형 생보사 원수예실차가 4개 분기 정확히 0 — 다른 분기 19,583/-25,905. 예실차가 정확히 0일 수 없음(행 미캡처).",,,,,,
손익분해PL,교보생명보험,2025.1Q,원수예실차,MOLE/EXTRACTION_ERROR,"현재값=0.0 · 대형 생보사 원수예실차가 4개 분기 정확히 0 — 다른 분기 19,583/-25,905. 예실차가 정확히 0일 수 없음(행 미캡처).",,,,,,
손익분해PL,교보생명보험,2025.4Q,원수예실차,MOLE/EXTRACTION_ERROR,"현재값=0.0 · 대형 생보사 원수예실차가 4개 분기 정확히 0 — 다른 분기 19,583/-25,905. 예실차가 정확히 0일 수 없음(행 미캡처).",,,,,,
손익분해PL,교보생명보험,2026.1Q,원수예실차,MOLE/EXTRACTION_ERROR,"현재값=0.0 · 대형 생보사 원수예실차가 4개 분기 정확히 0 — 다른 분기 19,583/-25,905. 예실차가 정확히 0일 수 없음(행 미캡처).",,,,,,
손익분해PL,동양생명,2023.4Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2023.4Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2023.4Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.1Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.1Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.1Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.2Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.2Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.2Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.3Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.3Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.3Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.4Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.4Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2024.4Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2025.1Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2025.1Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2025.1Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2025.3Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2025.3Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2025.3Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,동양생명,2025.3Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),dart 공시자료 자체 정합성 의심. 연속성 검토해봐야 할듯,,,,,
손익분해PL,비엔피파리바카디프생명보험,2024.4Q,원수 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,비엔피파리바카디프생명보험,2024.4Q,원수 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,비엔피파리바카디프생명보험,2024.4Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,비엔피파리바카디프생명보험,2025.4Q,원수위험조정변동,MOLE/UNIT_ERROR,"현재값=1768401.0 · 1,768,401백만(=1.77조)은 소형 카디프 생보사 RA변동으로 불가능. /100=17,684로 cohort(27,260) 정합 → 백만/억 단위오류.",,,,,,
손익분해PL,삼성화재해상보험,2026.1Q,자동차손익,MOLE/EXTRACTION_ERROR,"현재값=-40.0 · 국내 최대 자동차보험사 자동차손익이 -40백만(자기 1Q 이력 ±121,893~183,140). 사실상 0 → 셀/컬럼 미스파싱.",,,,,,
손익분해PL,신한이지손해보험,2025.4Q,보험금융손익,MOLE/EXTRACTION_ERROR,"현재값=0.0 · 2024.4Q=-2,328.7인데 2025.4Q=0 — 보험금융손익 0은 의심이나 비교분기 1개뿐(약확신).",,,,,,
손익분해PL,에이비엘생명보험,2023.4Q,기타사업비용,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.1Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.1Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.1Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.1Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.2Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.2Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.2Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.2Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.3Q,재보험 CSM상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.3Q,재보험 위험조정 변동,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.3Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,에이비엘생명보험,2024.3Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),,,,,,
손익분해PL,코리안리재보험,2026.1Q,기타생명장기재보험손익,MOLE/EXTRACTION_ERROR,"현재값=43.0 · 서로 다른 두 항목이 동일하게 43.0 (이력 ~10,000~23,000) — 동일 셀 중복 추출 의심.",,,,,,
손익분해PL,코리안리재보험,2026.1Q,기타장기재보험출재손익,MOLE/EXTRACTION_ERROR,"현재값=43.0 · 서로 다른 두 항목이 동일하게 43.0 (이력 ~10,000~23,000) — 동일 셀 중복 추출 의심.",,,,,,
손익분해PL,현대해상,2023.4Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2023.4Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2023.4Q,기타 생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2023.4Q,생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2023.4Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2023.4Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2023.4Q,자동차손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2023.4Q,일반손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.1Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.1Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.1Q,기타 생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.1Q,생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.1Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.1Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.2Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.2Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.2Q,기타 생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.2Q,생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.2Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.2Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.3Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.3Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.3Q,기타 생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.3Q,생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.3Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.3Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.4Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.4Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.4Q,기타 생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.4Q,생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.4Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2024.4Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.1Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.1Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.1Q,기타 생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.1Q,생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.1Q,재보험 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.1Q,기타 생명장기 재보험손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.2Q,생명장기 원수손익,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
손익분해PL,현대해상,2025.2Q,원수 예실차,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),"채웠는데, 추정치가 많아서 연속성 등 재검증 필요해 보임. 실제로 변동성 큰게 맞다면, ""추정치"" 정도로 홈페이지에선 별도 음영처리 등 필요해 보인다",,,,,
