원보험사코드,원수사명,티커,생손보여부,공시분기,경과차년,상각액
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),3,1189.0
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),4,1089.3
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),5,1005.2
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),6,939.8
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),7,881.4
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),8,829.8
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),9,788.2
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),10,751.8
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),1,10781.1
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),2,9408.0
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),3,8315.1
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),4,7416.8
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),5,6630.0
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),6,
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),7,
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),8,
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),9,
KR0001,메리츠화재해상보험,000060,손해보험,annual (filings skim),10,24582.0
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),1,2040.6
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),2,1839.1
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),3,1675.3
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),4,1543.3
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),5,1427.4
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),6,1313.2
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),7,1219.1
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),8,1130.2
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),9,
KR0095,메트라이프생명보험,X,생명보험,annual (filings skim),10,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),1,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),2,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),3,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),4,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),5,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),6,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),7,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),8,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),9,
KR0079,미래에셋생명보험,085620,생명보험,annual (filings skim),10,12479.1
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),1,48.4
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),2,40.2
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),3,33.6
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),4,28.5
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),5,24.1
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),6,20.1
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),7,16.3
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),8,13.2
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),9,
KR0075,비엔피파리바카디프생명보험,X,생명보험,annual (filings skim),10,
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),1,10561.2
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),2,8934.5
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),3,7648.8
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),4,6621.4
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),5,5845.7
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),6,5284.5
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),7,4884.4
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),8,4537.7
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),9,4192.3
KR0069,삼성생명보험,032830,생명보험,annual (filings skim),10,3879.2
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),1,10586.1
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),2,9056.1
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),3,7755.8
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),4,6783.4
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),5,6105.6
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),6,5550.6
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),7,5142.1
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),8,4741.1
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),9,4379.0
KR0008,삼성화재해상보험,000810,손해보험,annual (filings skim),10,4097.1
KR0150,서울보증보험,031210,손해보험,annual (filings skim),1,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),2,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),3,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),4,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),5,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),6,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),7,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),8,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),9,
KR0150,서울보증보험,031210,손해보험,annual (filings skim),10,
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),1,4415.4
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),2,3875.1
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),3,3513.3
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),4,3214.8
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),5,2864.1
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),6,2591.2
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),7,2415.0
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),8,2284.3
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),9,2172.7
KR0094,신한라이프생명보험,X,생명보험,annual (filings skim),10,2072.5
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),1,0.3
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),2,0.3
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),3,0.2
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),4,0.2
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),5,0.1
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),6,0.1
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),7,0.1
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),8,0.1
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),9,0.1
KR0051,신한이지손해보험,X,손해보험,annual (filings skim),10,0.0
KR1011,IBK연금보험,X,생명보험,annual (filings skim),1,295.8
KR1011,IBK연금보험,X,생명보험,annual (filings skim),2,305.8
KR1011,IBK연금보험,X,생명보험,annual (filings skim),3,308.3
KR1011,IBK연금보험,X,생명보험,annual (filings skim),4,301.0
KR1011,IBK연금보험,X,생명보험,annual (filings skim),5,296.7
KR1011,IBK연금보험,X,생명보험,annual (filings skim),6,291.1
KR1011,IBK연금보험,X,생명보험,annual (filings skim),7,281.8
KR1011,IBK연금보험,X,생명보험,annual (filings skim),8,260.2
KR1011,IBK연금보험,X,생명보험,annual (filings skim),9,242.8
KR1011,IBK연금보험,X,생명보험,annual (filings skim),10,224.6
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),1,339.3
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),2,331.1
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),3,318.4
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),4,306.9
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),5,293.0
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),6,285.5
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),7,270.2
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),8,258.3
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),9,248.1
KR0076,아이엠라이프생명보험,X,생명보험,annual (filings skim),10,233.3
KR0049,악사손해보험,X,손해보험,annual (filings skim),1,
KR0049,악사손해보험,X,손해보험,annual (filings skim),2,
KR0049,악사손해보험,X,손해보험,annual (filings skim),3,
KR0049,악사손해보험,X,손해보험,annual (filings skim),4,
KR0049,악사손해보험,X,손해보험,annual (filings skim),5,
KR0049,악사손해보험,X,손해보험,annual (filings skim),6,
KR0049,악사손해보험,X,손해보험,annual (filings skim),7,
KR0049,악사손해보험,X,손해보험,annual (filings skim),8,
KR0049,악사손해보험,X,손해보험,annual (filings skim),9,
KR0049,악사손해보험,X,손해보험,annual (filings skim),10,
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),1,532.4
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),2,492.3
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),3,456.3
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),4,421.8
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),5,394.1
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),6,368.8
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),7,339.8
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),8,317.5
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),9,298.2
KR0070,에이비엘생명보험,X,생명보험,annual (filings skim),10,272.9
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),1,884.5
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),2,850.1
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),3,800.7
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),4,757.5
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),5,721.1
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),6,689.4
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),7,661.7
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),8,630.0
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),9,
KR0080,에이아이에이생명보험,X,생명보험,annual (filings skim),10,
KR0029,AIG손해보험,X,손해보험,annual (filings skim),1,119.6
KR0029,AIG손해보험,X,손해보험,annual (filings skim),2,102.5
KR0029,AIG손해보험,X,손해보험,annual (filings skim),3,88.5
KR0029,AIG손해보험,X,손해보험,annual (filings skim),4,76.8
KR0029,AIG손해보험,X,손해보험,annual (filings skim),5,67.3
KR0029,AIG손해보험,X,손해보험,annual (filings skim),6,59.1
KR0029,AIG손해보험,X,손해보험,annual (filings skim),7,52.0
KR0029,AIG손해보험,X,손해보험,annual (filings skim),8,46.1
KR0029,AIG손해보험,X,손해보험,annual (filings skim),9,41.0
KR0029,AIG손해보험,X,손해보험,annual (filings skim),10,36.5
KR0004,예별손해보험,X,손해보험,annual (filings skim),1,
KR0004,예별손해보험,X,손해보험,annual (filings skim),2,
KR0004,예별손해보험,X,손해보험,annual (filings skim),3,
KR0004,예별손해보험,X,손해보험,annual (filings skim),4,
KR0004,예별손해보험,X,손해보험,annual (filings skim),5,
KR0004,예별손해보험,X,손해보험,annual (filings skim),6,
KR0004,예별손해보험,X,손해보험,annual (filings skim),7,
KR0004,예별손해보험,X,손해보험,annual (filings skim),8,
KR0004,예별손해보험,X,손해보험,annual (filings skim),9,
KR0004,예별손해보험,X,손해보험,annual (filings skim),10,
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),1,37.2
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),2,34.2
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),3,32.2
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),4,30.4
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),5,28.5
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),6,27.5
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),7,26.7
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),8,25.9
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),9,
KR0100,처브라이프생명보험,X,생명보험,annual (filings skim),10,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),1,0.3
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),2,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),3,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),4,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),5,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),6,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),7,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),8,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),9,
KR1098,카카오페이손해보험,X,손해보험,annual (filings skim),10,0.5
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),1,421.0
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),2,402.9
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),3,381.8
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),4,364.8
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),5,356.9
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),6,348.4
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),7,330.1
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),8,312.0
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),9,296.5
KR0072,케이디비생명보험,X,생명보험,annual (filings skim),10,281.6
KR0099,KB라이프생명,X,생명보험,annual (filings skim),1,2049.5
KR0099,KB라이프생명,X,생명보험,annual (filings skim),2,1861.8
KR0099,KB라이프생명,X,생명보험,annual (filings skim),3,1699.5
KR0099,KB라이프생명,X,생명보험,annual (filings skim),4,1557.2
KR0099,KB라이프생명,X,생명보험,annual (filings skim),5,1430.4
KR0099,KB라이프생명,X,생명보험,annual (filings skim),6,1331.7
KR0099,KB라이프생명,X,생명보험,annual (filings skim),7,1249.1
KR0099,KB라이프생명,X,생명보험,annual (filings skim),8,1173.0
KR0099,KB라이프생명,X,생명보험,annual (filings skim),9,1115.0
KR0099,KB라이프생명,X,생명보험,annual (filings skim),10,1060.0
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),1,309.1
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),2,251.1
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),3,234.8
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),4,221.2
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),5,212.1
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),6,207.2
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),7,200.6
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),8,192.1
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),9,181.2
KR1000,코리안리재보험,003690,손해보험,annual (filings skim),10,170.4
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),1,157.3
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),2,136.5
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),3,121.3
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),4,106.6
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),5,88.7
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),6,78.1
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),7,72.2
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),8,67.3
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),9,60.2
KR0083,푸본현대생명보험,X,생명보험,annual (filings skim),10,48.2
KR0097,하나생명보험,X,생명보험,annual (filings skim),1,331.9
KR0097,하나생명보험,X,생명보험,annual (filings skim),2,288.0
KR0097,하나생명보험,X,생명보험,annual (filings skim),3,242.1
KR0097,하나생명보험,X,생명보험,annual (filings skim),4,232.2
KR0097,하나생명보험,X,생명보험,annual (filings skim),5,209.1
KR0097,하나생명보험,X,생명보험,annual (filings skim),6,190.5
KR0097,하나생명보험,X,생명보험,annual (filings skim),7,192.0
KR0097,하나생명보험,X,생명보험,annual (filings skim),8,193.3
KR0097,하나생명보험,X,생명보험,annual (filings skim),9,183.4
KR0097,하나생명보험,X,생명보험,annual (filings skim),10,167.5
KR0050,하나손해보험,X,손해보험,annual (filings skim),1,
KR0050,하나손해보험,X,손해보험,annual (filings skim),2,
KR0050,하나손해보험,X,손해보험,annual (filings skim),3,
KR0050,하나손해보험,X,손해보험,annual (filings skim),4,
KR0050,하나손해보험,X,손해보험,annual (filings skim),5,
KR0050,하나손해보험,X,손해보험,annual (filings skim),6,
KR0050,하나손해보험,X,손해보험,annual (filings skim),7,
KR0050,하나손해보험,X,손해보험,annual (filings skim),8,
KR0050,하나손해보험,X,손해보험,annual (filings skim),9,
KR0050,하나손해보험,X,손해보험,annual (filings skim),10,
KR0068,한화생명,088350,생명보험,annual (filings skim),1,4484.3
KR0068,한화생명,088350,생명보험,annual (filings skim),2,3933.4
KR0068,한화생명,088350,생명보험,annual (filings skim),3,3579.4
KR0068,한화생명,088350,생명보험,annual (filings skim),4,3310.8
KR0068,한화생명,088350,생명보험,annual (filings skim),5,3065.0
KR0068,한화생명,088350,생명보험,annual (filings skim),6,2888.5
KR0068,한화생명,088350,생명보험,annual (filings skim),7,2734.4
KR0068,한화생명,088350,생명보험,annual (filings skim),8,2599.2
KR0068,한화생명,088350,생명보험,annual (filings skim),9,2474.2
KR0068,한화생명,088350,생명보험,annual (filings skim),10,2330.8
KR0002,한화손해보험,000370,손해보험,annual (filings skim),1,2481.8
KR0002,한화손해보험,000370,손해보험,annual (filings skim),2,2120.8
KR0002,한화손해보험,000370,손해보험,annual (filings skim),3,1872.8
KR0002,한화손해보험,000370,손해보험,annual (filings skim),4,1669.2
KR0002,한화손해보험,000370,손해보험,annual (filings skim),5,1474.0
KR0002,한화손해보험,000370,손해보험,annual (filings skim),6,1329.5
KR0002,한화손해보험,000370,손해보험,annual (filings skim),7,1223.4
KR0002,한화손해보험,000370,손해보험,annual (filings skim),8,1140.2
KR0002,한화손해보험,000370,손해보험,annual (filings skim),9,1062.2
KR0002,한화손해보험,000370,손해보험,annual (filings skim),10,1004.2
KR0009,현대해상,001450,손해보험,annual (filings skim),1,6227.2
KR0009,현대해상,001450,손해보험,annual (filings skim),2,5366.1
KR0009,현대해상,001450,손해보험,annual (filings skim),3,4606.0
KR0009,현대해상,001450,손해보험,annual (filings skim),4,4103.7
KR0009,현대해상,001450,손해보험,annual (filings skim),5,3688.7
KR0009,현대해상,001450,손해보험,annual (filings skim),6,
KR0009,현대해상,001450,손해보험,annual (filings skim),7,
KR0009,현대해상,001450,손해보험,annual (filings skim),8,
KR0009,현대해상,001450,손해보험,annual (filings skim),9,
KR0009,현대해상,001450,손해보험,annual (filings skim),10,15232.9
KR0071,흥국생명보험,X,생명보험,annual (filings skim),1,1186.9
KR0071,흥국생명보험,X,생명보험,annual (filings skim),2,1039.9
KR0071,흥국생명보험,X,생명보험,annual (filings skim),3,928.6
KR0071,흥국생명보험,X,생명보험,annual (filings skim),4,844.6
KR0071,흥국생명보험,X,생명보험,annual (filings skim),5,783.8
KR0071,흥국생명보험,X,생명보험,annual (filings skim),6,735.9
KR0071,흥국생명보험,X,생명보험,annual (filings skim),7,696.0
KR0071,흥국생명보험,X,생명보험,annual (filings skim),8,665.1
KR0071,흥국생명보험,X,생명보험,annual (filings skim),9,640.7
KR0071,흥국생명보험,X,생명보험,annual (filings skim),10,606.3
KR0005,흥국화재,000540,손해보험,annual (filings skim),1,1060.8
KR0005,흥국화재,000540,손해보험,annual (filings skim),2,1035.1
KR0005,흥국화재,000540,손해보험,annual (filings skim),3,972.0
KR0005,흥국화재,000540,손해보험,annual (filings skim),4,910.7
KR0005,흥국화재,000540,손해보험,annual (filings skim),5,848.9
KR0005,흥국화재,000540,손해보험,annual (filings skim),6,800.5
KR0005,흥국화재,000540,손해보험,annual (filings skim),7,771.8
KR0005,흥국화재,000540,손해보험,annual (filings skim),8,749.0
KR0005,흥국화재,000540,손해보험,annual (filings skim),9,730.1
KR0005,흥국화재,000540,손해보험,annual (filings skim),10,712.5
