원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,공시분기,값,값_당분기
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2023.2Q,25907.0,11379.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2023.2Q,36174.0,17843.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2023.2Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2023.2Q,71546.566619,83916.790796
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2023.2Q,311191.0,174008.0
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2023.2Q,,
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2023.2Q,,
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2023.2Q,1133799.0,577079.0
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2023.2Q,-395.0,400.0
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2023.2Q,1133404.0,577479.0
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2023.2Q,295046.0,144836.0
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2023.2Q,838358.0,432643.0
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2023.3Q,1233704.626867,411097.626867
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2023.3Q,1469131.0,636233.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2023.3Q,1650155.0,829724.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2023.3Q,837969.0,285137.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2023.3Q,90263.0,37880.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2023.3Q,415719.0,184728.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2023.3Q,306204.0,321979.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2023.3Q,-181024.0,-193491.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2023.3Q,-131855.0,-106151.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2023.3Q,-6093.0,-2889.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2023.3Q,-63669.0,-65633.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2023.3Q,20593.0,-18818.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2023.3Q,32218.0,6311.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2023.3Q,39733.0,3559.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2023.3Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2023.3Q,239981.664039,168435.09742
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2023.3Q,509124.65211,197933.65211
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2023.3Q,991329.332618,
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2023.3Q,-482204.680508,
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2023.3Q,1742829.278977,609030.278977
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2023.3Q,11454.872496,11849.872496
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2023.3Q,1754284.151473,620880.151473
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2023.3Q,458214.829849,163168.829849
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2023.3Q,1296069.321624,457711.321624
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2023.4Q,1497057.260733,263352.633866
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2023.4Q,1739416.0,270285.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2023.4Q,1932426.0,282271.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2023.4Q,1069760.0,231791.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2023.4Q,131440.0,41177.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2023.4Q,561192.0,145473.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2023.4Q,170034.0,-136170.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2023.4Q,-193010.0,-11986.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2023.4Q,-121201.0,10654.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2023.4Q,-8862.0,-2769.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2023.4Q,-84654.0,-20985.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2023.4Q,21707.0,1114.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2023.4Q,13041.0,-19177.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2023.4Q,14233.0,-25500.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2023.4Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2023.4Q,269632.464078,29650.800039
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2023.4Q,609451.778718,100327.126608
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2023.4Q,1257514.278016,266184.945398
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2023.4Q,-648062.499298,-165857.81879
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2023.4Q,2106509.039451,363679.760474
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2023.4Q,12978.156515,1523.284019
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2023.4Q,2119487.195966,365203.044493
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2023.4Q,552504.563436,94289.733587
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2023.4Q,1566982.63253,270913.310906
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2024.1Q,457913.266203,457913.266203
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2024.1Q,446990.0,446990.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2024.1Q,452268.0,452268.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2024.1Q,289028.0,289028.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2024.1Q,39973.0,39973.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2024.1Q,139264.0,139264.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2024.1Q,-15997.0,-15997.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2024.1Q,-5278.0,-5278.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2024.1Q,-5185.0,-5185.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2024.1Q,-2257.0,-2257.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2024.1Q,-11473.0,-11473.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2024.1Q,13637.0,13637.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2024.1Q,6382.0,6382.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2024.1Q,25393.0,25393.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2024.1Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2024.1Q,20852.35949,20852.35949
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2024.1Q,202735.201442,202735.201442
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2024.1Q,377979.210481,377979.210481
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2024.1Q,-175244.009039,-175244.009039
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2024.1Q,660648.467645,660648.467645
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2024.1Q,416.998726,416.998726
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2024.1Q,661065.466371,661065.466371
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2024.1Q,170201.329315,170201.329315
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2024.1Q,490864.137056,490864.137056
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2024.2Q,941140.976929,483227.710726
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2024.2Q,962751.0,515761.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2024.2Q,984638.0,532370.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2024.2Q,575942.0,286914.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2024.2Q,79380.0,39407.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2024.2Q,329963.0,190699.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2024.2Q,-647.0,15350.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2024.2Q,-21887.0,-16609.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2024.2Q,-9525.0,-4340.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2024.2Q,-4139.0,-1882.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2024.2Q,-29375.0,-17902.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2024.2Q,21152.0,7515.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2024.2Q,13650.0,7268.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2024.2Q,59582.0,34189.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2024.2Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2024.2Q,94842.646004,73990.286514
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2024.2Q,395913.276069,193178.074627
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2024.2Q,742248.417529,364269.207048
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2024.2Q,-346335.14146,-171091.132421
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2024.2Q,1337054.252998,676405.785353
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2024.2Q,732.060556,315.06183
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2024.2Q,1337786.313554,676720.847183
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2024.2Q,340101.312372,169899.983057
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2024.2Q,997685.001182,506820.864126
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2024.3Q,1404299.373014,463158.396085
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2024.3Q,1432241.0,469490.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2024.3Q,1476272.0,491634.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2024.3Q,857677.0,281735.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2024.3Q,118287.0,38907.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2024.3Q,527218.0,197255.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2024.3Q,-26910.0,-26263.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2024.3Q,-44031.0,-22144.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2024.3Q,-12916.0,-3391.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2024.3Q,-6094.0,-1955.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2024.3Q,-50451.0,-21076.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2024.3Q,25430.0,4278.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2024.3Q,13069.0,-581.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2024.3Q,72412.0,12830.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2024.3Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2024.3Q,113422.079083,18579.433079
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2024.3Q,599783.787898,203870.511829
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2024.3Q,1119915.751455,377667.333926
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2024.3Q,-520131.963557,-173796.822097
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2024.3Q,2004083.160912,667028.907914
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2024.3Q,1259.293391,527.232835
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2024.3Q,2005342.454303,667556.140749
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2024.3Q,512557.961624,172456.649252
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2024.3Q,1492784.492679,495099.491497
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2024.4Q,1533644.053333,129344.680319
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2024.4Q,1634072.0,201831.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2024.4Q,1703998.0,227726.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2024.4Q,1150169.0,292492.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2024.4Q,155256.0,36969.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2024.4Q,174240.0,-352978.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2024.4Q,224333.0,251243.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2024.4Q,-69926.0,-25895.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2024.4Q,-11733.0,1183.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2024.4Q,-8150.0,-2056.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2024.4Q,-1677.0,48774.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2024.4Q,-48366.0,-73796.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2024.4Q,-10879.0,-23948.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2024.4Q,69250.0,-3162.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2024.4Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2024.4Q,158799.372142,45377.293059
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2024.4Q,761580.942493,161797.154595
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2024.4Q,1452883.434705,332967.68325
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2024.4Q,-691302.492212,-171170.528655
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2024.4Q,2295224.995826,291141.834914
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2024.4Q,3182.418989,1923.125598
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2024.4Q,2298407.414815,293064.960512
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2024.4Q,587857.531432,75299.569808
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2024.4Q,1710549.883383,217765.390704
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2025.1Q,359840.075626,359840.075626
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2025.1Q,396284.0,396284.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2025.1Q,400450.0,400450.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2025.1Q,287644.0,287644.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2025.1Q,42375.0,42375.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2025.1Q,12716.0,12716.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2025.1Q,57715.0,57715.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2025.1Q,-4166.0,-4166.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2025.1Q,-4954.0,-4954.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2025.1Q,-1929.0,-1929.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2025.1Q,8518.0,8518.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2025.1Q,-5801.0,-5801.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2025.1Q,-6868.0,-6868.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2025.1Q,-3653.0,-3653.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2025.1Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2025.1Q,25923.169977,25923.169977
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2025.1Q,262066.998393,262066.998393
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2025.1Q,423878.22068,423878.22068
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2025.1Q,-161811.222287,-161811.222287
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2025.1Q,621907.074019,621907.074019
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2025.1Q,2109.6886,2109.6886
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2025.1Q,624016.762619,624016.762619
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2025.1Q,161503.39027,161503.39027
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2025.1Q,462513.372349,462513.372349
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2025.2Q,724191.945967,364351.870341
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2025.2Q,756697.0,360413.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2025.2Q,767523.0,367073.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2025.2Q,574445.0,286801.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2025.2Q,86806.0,44431.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2025.2Q,29184.0,16468.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2025.2Q,77088.0,19373.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2025.2Q,-10826.0,-6660.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2025.2Q,-11491.0,-6537.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2025.2Q,-3825.0,-1896.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2025.2Q,16017.0,7499.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2025.2Q,-11527.0,-5726.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2025.2Q,-7507.0,-639.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2025.2Q,29590.0,33243.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2025.2Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2025.2Q,54587.345833,28664.175856
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2025.2Q,604758.352688,342691.354295
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2025.2Q,923330.890289,499452.669609
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2025.2Q,-318572.537601,-156761.315314
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2025.2Q,1328950.298655,707043.224636
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2025.2Q,2524.142953,414.454353
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2025.2Q,1331474.441608,707457.678989
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2025.2Q,344220.070327,182716.680057
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2025.2Q,987254.371281,524740.998932
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2025.3Q,1024249.485878,300057.539911
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2025.3Q,1091246.0,334549.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2025.3Q,1112175.0,344652.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2025.3Q,869104.0,294659.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2025.3Q,133029.0,46223.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2025.3Q,-59179.0,-88363.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2025.3Q,169221.0,92133.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2025.3Q,-20929.0,-10103.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2025.3Q,-20010.0,-8519.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2025.3Q,-6631.0,-2806.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2025.3Q,29392.0,13375.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2025.3Q,-23680.0,-12153.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2025.3Q,-16372.0,-8865.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2025.3Q,29833.0,243.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2025.3Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2025.3Q,80458.109851,25870.764018
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2025.3Q,929749.132806,324990.780118
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2025.3Q,1409864.833071,486533.942782
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2025.3Q,-480115.700265,-161543.162664
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2025.3Q,1953998.618684,625048.320029
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2025.3Q,4545.696684,2021.553731
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2025.3Q,1958544.315368,627069.87376
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2025.3Q,507468.474397,163248.40407
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2025.3Q,1451075.840971,463821.46969
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2025.4Q,1425411.27889,401161.793012
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2025.4Q,1573297.0,482051.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2025.4Q,1614188.0,502013.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2025.4Q,1167264.0,298160.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2025.4Q,181943.0,48914.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2025.4Q,-187506.0,-128327.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2025.4Q,452487.0,283266.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2025.4Q,-40891.0,-19962.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2025.4Q,-34966.0,-14956.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2025.4Q,-8699.0,-2068.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2025.4Q,51886.0,22494.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2025.4Q,-49112.0,-25432.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2025.4Q,-46324.0,-29952.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2025.4Q,36147.0,6314.0
