원보험사코드,원수사명,티커,생손보여부,공시분기,경과조치여부,measure구분,-100bp,-50bp,base,+50bp,+100bp
KR0104,농협생명보험,X,생명보험,2024.4Q,적용전,지급여력기준금액,26582.0,27692.0,29423.0,31882.0,34705.0
KR0104,농협생명보험,X,생명보험,2024.4Q,적용후,지급여력비율,441.9,442.8,437.7,403.7,338.5
KR0104,농협생명보험,X,생명보험,2024.4Q,적용후,지급여력금액,76799.0,75687.0,73307.0,68351.0,61945.0
KR0104,농협생명보험,X,생명보험,2024.4Q,적용후,지급여력기준금액,17380.0,17091.0,16748.0,16930.0,18298.0
KR1000,코리안리재보험,003690,손해보험,2024.4Q,적용전,지급여력비율,194.93,193.3,191.7,190.07,188.47
KR1000,코리안리재보험,003690,손해보험,2024.4Q,적용전,지급여력금액,44026.0,42862.0,41813.0,40801.0,39903.0
KR1000,코리안리재보험,003690,손해보험,2024.4Q,적용전,지급여력기준금액,22586.0,22174.0,21812.0,21467.0,21172.0
KR1000,코리안리재보험,003690,손해보험,2024.4Q,적용후,지급여력비율,194.93,193.3,191.7,190.07,188.47
KR1000,코리안리재보험,003690,손해보험,2024.4Q,적용후,지급여력금액,44026.0,42862.0,41813.0,40801.0,39903.0
KR1000,코리안리재보험,003690,손해보험,2024.4Q,적용후,지급여력기준금액,22586.0,22174.0,21812.0,21467.0,21172.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,적용전,지급여력비율,214.78,229.14,239.84,242.17,244.96
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,적용전,지급여력금액,129325.0,132182.0,133959.0,134838.0,136302.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,적용전,지급여력기준금액,60213.0,57686.0,55852.0,55680.0,55643.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,적용후,지급여력비율,214.78,229.14,239.84,242.17,244.96
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,적용후,지급여력금액,129325.0,132182.0,133959.0,134838.0,136302.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,적용후,지급여력기준금액,60213.0,57686.0,55852.0,55680.0,55643.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,적용전,지급여력비율,163.5,171.7,179.5,186.0,191.3
KR0002,한화손해보험,000370,손해보험,2025.2Q,적용전,지급여력금액,59064.0,59453.0,59803.0,60346.0,60807.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,적용전,지급여력기준금액,36118.0,34622.0,33316.0,32443.0,31790.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,적용후,지급여력비율,191.7,203.0,214.3,226.0,237.8
KR0002,한화손해보험,000370,손해보험,2025.2Q,적용후,지급여력금액,59064.0,59453.0,59803.0,60346.0,60807.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,적용후,지급여력기준금액,30816.0,29287.0,27911.0,26706.0,25569.0
KR0003,롯데손해보험,000400,손해보험,2025.2Q,적용전,지급여력비율,90.53,99.89,108.68,115.56,121.32
KR0003,롯데손해보험,000400,손해보험,2025.2Q,적용전,지급여력금액,23479.0,24208.0,24797.0,25296.0,25627.0
KR0003,롯데손해보험,000400,손해보험,2025.2Q,적용전,지급여력기준금액,25936.0,24234.0,22817.0,21891.0,21124.0
KR0003,롯데손해보험,000400,손해보험,2025.2Q,적용후,지급여력비율,106.44,118.21,129.46,139.73,149.01
KR0003,롯데손해보험,000400,손해보험,2025.2Q,적용후,지급여력금액,23479.0,24208.0,24797.0,25296.0,25627.0
KR0003,롯데손해보험,000400,손해보험,2025.2Q,적용후,지급여력기준금액,22059.0,20479.0,19154.0,18103.0,17198.0
KR0005,흥국화재,000540,손해보험,2025.2Q,적용전,지급여력비율,168.79000000000002,172.59,175.77,172.75,170.03
KR0005,흥국화재,000540,손해보험,2025.2Q,적용전,지급여력금액,33948.0,32737.0,31910.0,31283.0,31086.0
KR0005,흥국화재,000540,손해보험,2025.2Q,적용전,지급여력기준금액,20113.0,18968.0,18154.0,18109.0,18282.0
KR0005,흥국화재,000540,손해보험,2025.2Q,적용후,지급여력비율,203.51000000000002,211.03,220.77,231.65,244.21
KR0005,흥국화재,000540,손해보험,2025.2Q,적용후,지급여력금액,33948.0,32737.0,31910.0,31283.0,31086.0
KR0005,흥국화재,000540,손해보험,2025.2Q,적용후,지급여력기준금액,16682.0,15513.0,14454.0,13505.0,12729.0
KR0008,삼성화재해상보험,000810,손해보험,2025.2Q,적용전,지급여력비율,276.06,276.27,274.48,270.02,264.76
KR0008,삼성화재해상보험,000810,손해보험,2025.2Q,적용전,지급여력금액,268173.0,266778.0,263412.0,258685.0,253255.0
KR0008,삼성화재해상보험,000810,손해보험,2025.2Q,적용전,지급여력기준금액,97143.0,96565.0,95967.0,95804.0,95654.0
KR0008,삼성화재해상보험,000810,손해보험,2025.2Q,적용후,지급여력비율,276.06,276.27,274.48,270.02,264.76
KR0008,삼성화재해상보험,000810,손해보험,2025.2Q,적용후,지급여력금액,268173.0,266778.0,263412.0,258685.0,253255.0
KR0008,삼성화재해상보험,000810,손해보험,2025.2Q,적용후,지급여력기준금액,97143.0,96565.0,95967.0,95804.0,95654.0
KR0009,현대해상,001450,손해보험,2025.2Q,적용전,지급여력비율,139.0,157.9,170.0,179.8,186.5
KR0009,현대해상,001450,손해보험,2025.2Q,적용전,지급여력금액,126495.0,133192.0,138373.0,143373.0,146289.0
KR0009,현대해상,001450,손해보험,2025.2Q,적용전,지급여력기준금액,91030.0,84365.0,81394.0,79761.0,78435.0
KR0009,현대해상,001450,손해보험,2025.2Q,적용후,지급여력비율,139.0,157.9,170.0,179.8,186.5
KR0009,현대해상,001450,손해보험,2025.2Q,적용후,지급여력금액,126495.0,133192.0,138373.0,143373.0,146289.0
KR0009,현대해상,001450,손해보험,2025.2Q,적용후,지급여력기준금액,91030.0,84365.0,81394.0,79761.0,78435.0
KR0010,KB손해보험,002550,손해보험,2025.2Q,적용전,지급여력비율,163.25,179.97,191.5,195.44,192.91
KR0010,KB손해보험,002550,손해보험,2025.2Q,적용전,지급여력금액,114224.0,119161.0,121531.0,121530.0,119507.0
KR0010,KB손해보험,002550,손해보험,2025.2Q,적용전,지급여력기준금액,69970.0,66213.0,63463.0,62182.0,61949.0
KR0010,KB손해보험,002550,손해보험,2025.2Q,적용후,지급여력비율,163.25,179.97,191.5,195.44,192.91
KR0010,KB손해보험,002550,손해보험,2025.2Q,적용후,지급여력금액,114224.0,119161.0,121531.0,121530.0,119507.0
KR0010,KB손해보험,002550,손해보험,2025.2Q,적용후,지급여력기준금액,69970.0,66213.0,63463.0,62182.0,61949.0
KR0011,DB손해보험,005830,손해보험,2025.2Q,적용전,지급여력비율,204.38,215.37,221.74,225.06,226.87
KR0011,DB손해보험,005830,손해보험,2025.2Q,적용전,지급여력금액,193400.0,197847.0,200558.0,202213.0,203291.0
KR0011,DB손해보험,005830,손해보험,2025.2Q,적용전,지급여력기준금액,94627.0,91865.0,90447.0,89847.0,89608.0
KR0011,DB손해보험,005830,손해보험,2025.2Q,적용후,지급여력비율,204.38,215.37,221.74,225.06,226.87
KR0011,DB손해보험,005830,손해보험,2025.2Q,적용후,지급여력금액,193400.0,197847.0,200558.0,202213.0,203291.0
KR0011,DB손해보험,005830,손해보험,2025.2Q,적용후,지급여력기준금액,94627.0,91865.0,90447.0,89847.0,89608.0
KR0032,NH농협손해보험,X,손해보험,2025.2Q,적용전,지급여력비율,106.6,116.43,130.21,140.96,155.97
KR0032,NH농협손해보험,X,손해보험,2025.2Q,적용전,지급여력금액,18269.0,19571.0,21385.0,22686.0,24500.0
KR0032,NH농협손해보험,X,손해보험,2025.2Q,적용전,지급여력기준금액,17137.0,16809.0,16423.0,16094.0,15708.0
KR0032,NH농협손해보험,X,손해보험,2025.2Q,적용후,지급여력비율,132.05,145.45,164.22,179.46,200.69
KR0032,NH농협손해보험,X,손해보험,2025.2Q,적용후,지급여력금액,18269.0,19571.0,21385.0,22686.0,24500.0
KR0032,NH농협손해보험,X,손해보험,2025.2Q,적용후,지급여력기준금액,13835.0,13455.0,13022.0,12641.0,12208.0
KR0049,악사손해보험,X,손해보험,2025.2Q,적용전,지급여력비율,224.6,221.6,218.4,215.5,212.4
KR0049,악사손해보험,X,손해보험,2025.2Q,적용전,지급여력금액,5504.0,5361.0,5217.0,5092.0,4967.0
KR0049,악사손해보험,X,손해보험,2025.2Q,적용전,지급여력기준금액,2451.0,2419.0,2388.0,2363.0,2338.0
KR0049,악사손해보험,X,손해보험,2025.2Q,적용후,지급여력비율,263.5,259.9,256.1,252.5,248.8
KR0049,악사손해보험,X,손해보험,2025.2Q,적용후,지급여력금액,5504.0,5361.0,5217.0,5092.0,4967.0
KR0049,악사손해보험,X,손해보험,2025.2Q,적용후,지급여력기준금액,2089.0,2063.0,2037.0,2017.0,1997.0
KR0050,하나손해보험,X,손해보험,2025.2Q,적용전,지급여력비율,134.02,138.5,141.27,142.37,142.35
KR0050,하나손해보험,X,손해보험,2025.2Q,적용전,지급여력금액,4964.0,4989.0,4989.0,4963.0,4916.0
KR0050,하나손해보험,X,손해보험,2025.2Q,적용전,지급여력기준금액,3704.0,3602.0,3531.0,3486.0,3454.0
KR0051,신한이지손해보험,X,손해보험,2025.2Q,적용전,지급여력비율,316.29,313.03,309.95,306.76,303.76
KR0051,신한이지손해보험,X,손해보험,2025.2Q,적용전,지급여력금액,1569.3707,1551.35697,1532.0,1516.88177,1500.411
KR0051,신한이지손해보험,X,손해보험,2025.2Q,적용전,지급여력기준금액,496.176504,495.596879,494.0,494.483759,493.9447
KR0051,신한이지손해보험,X,손해보험,2025.2Q,적용후,지급여력비율,316.29,313.03,309.95,306.76,303.76
KR0051,신한이지손해보험,X,손해보험,2025.2Q,적용후,지급여력금액,1569.3707,1551.35697,1532.0,1516.88177,1500.411
KR0051,신한이지손해보험,X,손해보험,2025.2Q,적용후,지급여력기준금액,496.176504,495.596879,494.0,494.483759,493.9447
KR0068,한화생명,088350,생명보험,2025.2Q,적용전,지급여력비율,146.7,154.3,160.0,162.3,161.9
KR0068,한화생명,088350,생명보험,2025.2Q,적용전,지급여력금액,218424.0,221407.0,221809.0,221881.0,221193.0
KR0068,한화생명,088350,생명보험,2025.2Q,적용전,지급여력기준금액,148909.0,143473.0,138614.0,136712.0,136603.0
KR0068,한화생명,088350,생명보험,2025.2Q,적용후,지급여력비율,146.7,154.3,160.6,163.3,162.7
KR0068,한화생명,088350,생명보험,2025.2Q,적용후,지급여력금액,218424.0,221407.0,222634.0,223282.0,222283.0
KR0068,한화생명,088350,생명보험,2025.2Q,적용후,지급여력기준금액,148909.0,143473.0,138614.0,136712.0,136603.0
KR0069,삼성생명보험,032830,생명보험,2025.2Q,적용전,지급여력비율,155.8,173.8,186.7,196.1,202.8
KR0069,삼성생명보험,032830,생명보험,2025.2Q,적용전,지급여력금액,439023.0,460311.0,477939.0,493521.0,505718.0
KR0069,삼성생명보험,032830,생명보험,2025.2Q,적용전,지급여력기준금액,281747.0,264882.0,255927.0,251646.0,249347.0
KR0070,에이비엘생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,101.23,103.45,105.37,108.35,110.15
KR0070,에이비엘생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,16268.0,16201.0,16118.0,16234.0,16334.0
KR0070,에이비엘생명보험,X,생명보험,2025.2Q,적용전,지급여력기준금액,16071.0,15661.0,15297.0,14982.0,14829.0
KR0070,에이비엘생명보험,X,생명보험,2025.2Q,적용후,지급여력비율,155.11,162.78,169.1,176.01,180.67
KR0070,에이비엘생명보험,X,생명보험,2025.2Q,적용후,지급여력금액,19571.0,19591.0,19569.0,19670.0,19676.0
KR0070,에이비엘생명보험,X,생명보험,2025.2Q,적용후,지급여력기준금액,12618.0,12036.0,11573.0,11175.0,10891.0
KR0071,흥국생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,147.89999999999998,157.7,159.2,159.7,153.79999999999998
KR0071,흥국생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,36991.0,37814.0,38359.0,38566.0,39453.0
KR0071,흥국생명보험,X,생명보험,2025.2Q,적용전,지급여력기준금액,25006.0,23980.0,24092.0,24153.0,25653.0
KR0071,흥국생명보험,X,생명보험,2025.2Q,적용후,지급여력비율,178.4,193.70000000000002,208.3,221.0,229.8
KR0071,흥국생명보험,X,생명보험,2025.2Q,적용후,지급여력금액,36991.0,37814.0,38359.0,38566.0,39453.0
KR0071,흥국생명보험,X,생명보험,2025.2Q,적용후,지급여력기준금액,20736.0,19515.0,18412.0,17447.0,17163.0
KR0072,케이디비생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,40.7,43.6,43.3,41.1,36.5
KR0072,케이디비생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,5380.0,5655.0,5579.0,5422.0,4923.0
KR0072,케이디비생명보험,X,생명보험,2025.2Q,적용전,지급여력기준금액,13211.0,12973.0,12879.0,13200.0,13506.0
KR0072,케이디비생명보험,X,생명보험,2025.2Q,적용후,지급여력비율,153.1,168.4,176.6,171.5,161.0
KR0072,케이디비생명보험,X,생명보험,2025.2Q,적용후,지급여력금액,14151.0,14426.0,14350.0,14193.0,13694.0
KR0072,케이디비생명보험,X,생명보험,2025.2Q,적용후,지급여력기준금액,9244.0,8567.0,8124.0,8276.0,8507.0
KR0073,교보생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,147.51,153.23,152.74,149.02,136.82
KR0073,교보생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,135141.0,135864.0,134977.0,133174.0,129601.0
KR0073,교보생명보험,X,생명보험,2025.2Q,적용전,지급여력기준금액,91613.0,88668.0,88372.0,89367.0,94723.0
KR0073,교보생명보험,X,생명보험,2025.2Q,적용후,지급여력비율,185.69,197.18,199.19,195.87,183.29
KR0073,교보생명보험,X,생명보험,2025.2Q,적용후,지급여력금액,135141.0,135864.0,134977.0,133174.0,129601.0
KR0073,교보생명보험,X,생명보험,2025.2Q,적용후,지급여력기준금액,72777.0,68905.0,67762.0,67992.0,70709.0
KR0074,라이나생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,334.13,348.53,360.31,368.66,376.58
KR0074,라이나생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,77121.0,76533.0,75845.0,75060.0,74260.0
KR0074,라이나생명보험,X,생명보험,2025.2Q,적용전,지급여력기준금액,23081.0,21959.0,21050.0,20360.0,19719.0
KR0074,라이나생명보험,X,생명보험,2025.2Q,적용후,지급여력비율,334.13,348.53,360.31,368.66,376.58
KR0074,라이나생명보험,X,생명보험,2025.2Q,적용후,지급여력금액,77121.0,76533.0,75845.0,75060.0,74260.0
KR0074,라이나생명보험,X,생명보험,2025.2Q,적용후,지급여력기준금액,23081.0,21959.0,21050.0,20360.0,19719.0
KR0075,비엔피파리바카디프생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,334.37,326.26,318.16,310.05,301.94
KR0075,비엔피파리바카디프생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,2291.0,2235.0,2180.0,2124.0,2068.0
KR0075,비엔피파리바카디프생명보험,X,생명보험,2025.2Q,적용전,지급여력기준금액,685.0,685.0,685.0,685.0,685.0
KR0075,비엔피파리바카디프생명보험,X,생명보험,2025.2Q,적용후,지급여력비율,334.37,326.26,318.16,310.05,301.94
KR0075,비엔피파리바카디프생명보험,X,생명보험,2025.2Q,적용후,지급여력금액,2291.0,2235.0,2180.0,2124.0,2068.0
KR0075,비엔피파리바카디프생명보험,X,생명보험,2025.2Q,적용후,지급여력기준금액,685.0,685.0,685.0,685.0,685.0
KR0076,아이엠라이프생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,72.19,81.62,95.08,92.8,90.09
KR0076,아이엠라이프생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,4763.0,4925.0,5598.0,5843.0,6048.0
KR0076,아이엠라이프생명보험,X,생명보험,2025.2Q,적용전,지급여력기준금액,6597.0,6033.0,5888.0,6297.0,6713.0
KR0076,아이엠라이프생명보험,X,생명보험,2025.2Q,적용후,지급여력비율,139.33,169.6,187.86,188.82,180.41
KR0076,아이엠라이프생명보험,X,생명보험,2025.2Q,적용후,지급여력금액,6352.0,7207.0,7614.0,7613.0,7568.0
KR0076,아이엠라이프생명보험,X,생명보험,2025.2Q,적용후,지급여력기준금액,4559.0,4249.0,4053.0,4032.0,4195.0
KR0082,DB생명보험,X,생명보험,2025.2Q,적용전,지급여력비율,114.93,139.75,166.9,177.83,182.59
KR0082,DB생명보험,X,생명보험,2025.2Q,적용전,지급여력금액,20794.0,22995.0,24874.0,26194.0,26985.0
