원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,섹션,레벨,공시분기,값
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2024.3Q,-165395.197055
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2024.4Q,-171377.796805
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2025.1Q,-605835.305993
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2025.2Q,-666728.796239
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2025.3Q,-904649.531873
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2025.4Q,-759257.610688
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2026.1Q,-736298.871021
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2026.2Q,-467740.668832
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2023.3Q,1010068.765998
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2023.4Q,1031254.904425
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2024.1Q,1344392.328921
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2024.2Q,1693542.135065
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2024.3Q,2015681.47164
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2024.4Q,1793089.349103
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2025.1Q,2019070.605177
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2025.2Q,2234057.342324
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2025.3Q,2490007.295932
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2025.4Q,2976566.402034
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2026.1Q,3225230.700506
KR0001,메리츠화재해상보험,000060,손해보험,5,해약환급금준비금 적립액,준비금,2,2026.2Q,3536425.366514
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2021.4Q,301971.0
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2022.4Q,321055.0
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2023.1Q,328904.0
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2023.2Q,335893.0
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2023.3Q,343211.482423
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2023.4Q,352611.801664
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2024.1Q,359567.402726
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2024.2Q,368056.779252
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2024.3Q,376113.963978
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2024.4Q,384383.51846
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2025.1Q,393673.251029
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2025.2Q,403005.466723
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2025.3Q,411541.741599
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2025.4Q,405810.303982
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2026.1Q,412047.808073
KR0001,메리츠화재해상보험,000060,손해보험,6,비상위험준비금 적립액,준비금,2,2026.2Q,419808.450231
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2021.4Q,33839.0
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2022.4Q,50364.0
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2023.1Q,63276.0
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2023.2Q,59792.0
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2023.3Q,72030.985669
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2023.4Q,60394.349736
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2024.1Q,76594.827031
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2024.2Q,108831.089692
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2024.3Q,136449.44059
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2024.4Q,195650.349399
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2025.1Q,480034.757171
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2025.2Q,477545.845613
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2025.3Q,447379.325948
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2025.4Q,451943.366535
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2026.1Q,486249.536131
KR0001,메리츠화재해상보험,000060,손해보험,7,대손준비금 적립액,준비금,2,2026.2Q,606287.494122
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2023.1Q,643016.258141
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2023.2Q,816285.895014
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2023.3Q,50007.0
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2023.4Q,590151.486302
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2024.1Q,150151.486302
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2024.2Q,402106.34176
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2024.3Q,80131.764549
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2024.4Q,183541.595015
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2025.1Q,50742.377464
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2025.2Q,330129.697145
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2025.3Q,178636.725402
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2025.4Q,530092.763563
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2026.1Q,205200.58372
KR0001,메리츠화재해상보험,000060,손해보험,10,현금및현금성자산,자산,2,2026.2Q,420768.070107
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2023.1Q,7385736.034356
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2023.2Q,6833838.592728
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2023.3Q,7381983.972874
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2023.4Q,8052071.734624
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2024.1Q,7732625.877123
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2024.2Q,6821562.61617
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2024.3Q,7867413.660626
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2024.4Q,7043831.964924
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2025.1Q,8243793.422945
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2025.2Q,8911786.237605
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2025.3Q,8567141.443325
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2025.4Q,7569926.137527
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2026.1Q,6939552.440989
KR0001,메리츠화재해상보험,000060,손해보험,11,당기손익-공정가치측정금융자산,자산,2,2026.2Q,6823216.974936
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2023.1Q,22697912.714458
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2023.2Q,23937866.463657
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2023.3Q,24417318.07264
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2023.4Q,26102575.035676
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2024.1Q,27086763.152889
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2024.2Q,28612087.224099
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2024.3Q,29983445.342899
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2024.4Q,31071033.527892
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2025.1Q,30918911.814647
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2025.2Q,30307679.529424
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2025.3Q,31228382.89197
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2025.4Q,31560738.837675
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2026.1Q,31912573.007467
KR0001,메리츠화재해상보험,000060,손해보험,12,기타포괄손익-공정가치측정금융자산,자산,2,2026.2Q,31454776.43976
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2023.3Q,824298.847094
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2023.4Q,836352.512865
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2024.1Q,999701.295417
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2024.2Q,949329.122957
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2024.3Q,1055767.183097
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2024.4Q,1066670.381695
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2025.1Q,1060581.17563
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2025.2Q,963575.911104
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2025.3Q,587884.112636
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2025.4Q,530913.802201
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2026.1Q,517609.561299
KR0001,메리츠화재해상보험,000060,손해보험,13,상각후원가측정금융자산,자산,2,2026.2Q,658933.166056
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2023.1Q,1013687.829186
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2023.2Q,1006509.938828
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2023.3Q,852681.083199
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2023.4Q,921131.674571
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2024.1Q,897052.298001
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2024.2Q,910428.164453
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2024.3Q,931674.885023
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2024.4Q,949547.316975
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2025.1Q,970775.380583
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2025.2Q,1006806.128241
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2025.3Q,1037278.210624
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2025.4Q,958975.156161
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2026.1Q,897957.626642
KR0001,메리츠화재해상보험,000060,손해보험,14,재보험계약자산,자산,2,2026.2Q,908317.041842
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2023.1Q,714563.124708
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2023.2Q,732071.654992
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2023.3Q,761431.895098
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2023.4Q,767301.263435
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2024.1Q,789090.593455
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2024.2Q,929786.505175
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2024.3Q,923574.824504
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2024.4Q,923251.471168
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2025.1Q,946038.199147
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2025.2Q,943450.957336
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2025.3Q,941475.975085
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2025.4Q,945602.996261
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2026.1Q,949964.89052
KR0001,메리츠화재해상보험,000060,손해보험,15,유형자산,자산,2,2026.2Q,951865.333419
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2023.1Q,20475433.637643
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2023.2Q,20248951.221777
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2023.3Q,19016341.549222
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2023.4Q,21549324.737068
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2024.1Q,21869375.968414
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2024.2Q,22760808.740293
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2024.3Q,24062799.270256
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2024.4Q,24357752.492165
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2025.1Q,25971651.582767
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2025.2Q,25472225.285432
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2025.3Q,25520745.511828
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2025.4Q,23715710.921184
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2026.1Q,22092105.191429
KR0001,메리츠화재해상보험,000060,손해보험,20,보험계약부채,부채,2,2026.2Q,20801103.966123
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2023.4Q,715.860724
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2024.1Q,0.0
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2024.2Q,613.505521
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2024.3Q,546.375209
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2024.4Q,385.162305
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2025.1Q,386.67206
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2025.2Q,266.142083
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2025.3Q,12013.379435
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2025.4Q,57481.152108
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2026.1Q,73572.60241
KR0001,메리츠화재해상보험,000060,손해보험,21,재보험계약부채,부채,2,2026.2Q,88095.114159
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2023.1Q,7159706.990272
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2023.2Q,8420610.194953
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2023.3Q,8433880.771099
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2023.4Q,9340209.124993
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2024.1Q,9589602.672835
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2024.2Q,9784301.47687
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2024.3Q,10088071.606161
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2024.4Q,9877036.858285
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2025.1Q,10044039.60986
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2025.2Q,10226829.640394
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2025.3Q,10274888.582311
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2025.4Q,10891756.07455
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2026.1Q,11138887.34215
KR0001,메리츠화재해상보험,000060,손해보험,22,투자계약부채,부채,2,2026.2Q,11128307.329488
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2023.3Q,1243901.719446
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2023.4Q,1244145.655569
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2024.1Q,1244391.778155
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2024.2Q,1144119.331132
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2024.3Q,1791863.296835
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2024.4Q,1542175.25663
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2025.1Q,1691561.772463
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2025.2Q,1691866.20615
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2025.3Q,1692172.593497
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2025.4Q,1797155.311695
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2026.1Q,1797481.938809
KR0001,메리츠화재해상보험,000060,손해보험,23,차입부채,부채,2,2026.2Q,1587775.106452
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2023.1Q,793918.291955
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2023.2Q,853722.375065
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2023.3Q,792522.618988
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2023.4Q,891799.259329
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2024.1Q,765745.950925
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2024.2Q,718435.518758
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2024.3Q,728980.124047
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2024.4Q,888259.364158
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2025.1Q,675182.871648
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2025.2Q,634118.171062
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2025.3Q,639365.913853
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2025.4Q,858665.788189
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2026.1Q,648702.952391
KR0001,메리츠화재해상보험,000060,손해보험,24,기타부채,부채,2,2026.2Q,638656.517549
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2023.1Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2023.2Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2023.3Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2023.4Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2024.1Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2024.2Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2024.3Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2024.4Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2025.1Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2025.2Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2025.3Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2025.4Q,60312.5
KR0001,메리츠화재해상보험,000060,손해보험,30,자본금,자본,2,2026.1Q,60312.5
