원보험사코드,원수사명,티커,생손보여부,공시분기,신계약CSM_연누계,월납월초보험료_연누계,신계약CSM배수_연누계,신계약CSM_당분기,월납월초보험료_당분기,신계약CSM배수_당분기
KR0073,교보생명보험,X,생명보험,2023.1Q,3648.36,322.6671,11.3069,3648.36,322.6671,11.3069
KR0073,교보생명보험,X,생명보험,2023.2Q,6657.42,598.9318,11.1155,3009.06,276.2647,10.8919
KR0073,교보생명보험,X,생명보험,2023.3Q,10255.1,936.2293,10.9536,3597.68,337.2975,10.6662
KR0073,교보생명보험,X,생명보험,2023.4Q,13728.9,1183.0953,11.6042,3473.8,246.866,14.0716
KR0073,교보생명보험,X,생명보험,2024.1Q,3933.9,558.1149,7.0485,3933.9,558.1149,7.0485
KR0073,교보생명보험,X,생명보험,2024.2Q,7046.4,828.4214,8.5058,3112.5,270.3065,11.5147
KR0073,교보생명보험,X,생명보험,2024.3Q,10532.3,1128.8211,9.3304,3485.9,300.3997,11.6042
KR0073,교보생명보험,X,생명보험,2024.4Q,13715.7,1452.8041,9.4408,3183.4,323.983,9.8258
KR0073,교보생명보험,X,생명보험,2025.1Q,2573.0,332.1582,7.7463,2573.0,332.1582,7.7463
KR0073,교보생명보험,X,생명보험,2025.2Q,5320.1,671.6081,7.9214,2747.1,339.4499,8.0928
KR0073,교보생명보험,X,생명보험,2025.3Q,9303.5,1126.4432,8.2592,3983.4,454.8351,8.7579
KR0073,교보생명보험,X,생명보험,2025.4Q,12781.3,1550.8905,8.2413,3477.8,424.4473,8.1937
KR0073,교보생명보험,X,생명보험,2026.1Q,4171.6,390.6988,10.6773,4171.6,390.6988,10.6773
KR0104,농협생명보험,X,생명보험,2023.1Q,1571.7,142.5967,11.022,1571.7,142.5967,11.022
KR0104,농협생명보험,X,생명보험,2023.2Q,2689.7,246.2275,10.9236,1118.0,103.6308,10.7883
KR0104,농협생명보험,X,생명보험,2023.3Q,4164.0,331.5487,12.5592,1474.3,85.3212,17.2794
KR0104,농협생명보험,X,생명보험,2023.4Q,4992.7,383.6954,13.0121,828.7,52.1467,15.8917
KR0104,농협생명보험,X,생명보험,2024.1Q,4604.9,521.4475,8.831,4604.9,521.4475,8.831
KR0104,농협생명보험,X,생명보험,2024.2Q,5767.2,619.6578,9.3071,1162.3,98.2103,11.8348
KR0104,농협생명보험,X,생명보험,2024.3Q,7226.0,730.6043,9.8904,1458.8,110.9465,13.1487
KR0104,농협생명보험,X,생명보험,2024.4Q,8142.8,847.1108,9.6124,916.8,116.5065,7.8691
KR0104,농협생명보험,X,생명보험,2025.1Q,2322.1,595.1126,3.902,2322.1,595.1126,3.902
KR0104,농협생명보험,X,생명보험,2025.2Q,3304.1,818.0294,4.0391,982.0,222.9168,4.4052
KR0104,농협생명보험,X,생명보험,2025.3Q,4333.7,907.4015,4.7759,1029.6,89.3721,11.5204
KR0104,농협생명보험,X,생명보험,2025.4Q,5021.4,958.4491,5.2391,687.7,51.0476,13.4717
KR0104,농협생명보험,X,생명보험,2026.1Q,3597.5,321.1116,11.2033,3597.5,321.1116,11.2033
KR0087,동양생명,082640,생명보험,2023.1Q,1762.7,135.8694,12.9735,1762.7,135.8694,12.9735
KR0087,동양생명,082640,생명보험,2023.2Q,3587.8,287.368,12.485,1825.1,151.4986,12.047
KR0087,동양생명,082640,생명보험,2023.3Q,5608.9,448.2835,12.5119,2021.1,160.9155,12.56
KR0087,동양생명,082640,생명보험,2023.4Q,7601.6,570.068,13.3345,1992.7,121.7845,16.3625
KR0087,동양생명,082640,생명보험,2024.1Q,2043.5,192.4044,10.6209,2043.5,192.4044,10.6209
KR0087,동양생명,082640,생명보험,2024.2Q,3435.2,318.98,10.7693,1391.7,126.5756,10.995
KR0087,동양생명,082640,생명보험,2024.3Q,5671.0,522.8942,10.8454,2235.8,203.9142,10.9644
KR0087,동양생명,082640,생명보험,2024.4Q,7319.8,696.819,10.5046,1648.8,173.9248,9.48
KR0087,동양생명,082640,생명보험,2025.1Q,1903.8,147.2966,12.9249,1903.8,147.2966,12.9249
KR0087,동양생명,082640,생명보험,2025.2Q,3028.9,263.8149,11.4812,1125.1,116.5183,9.656
KR0087,동양생명,082640,생명보험,2025.3Q,4258.5,386.1728,11.0274,1229.6,122.3579,10.0492
KR0087,동양생명,082640,생명보험,2025.4Q,5291.3,496.0537,10.6668,1032.8,109.8809,9.3993
KR0087,동양생명,082640,생명보험,2026.1Q,944.6,99.8207,9.463,944.6,99.8207,9.463
KR0074,라이나생명보험,X,생명보험,2024.4Q,5366.5,452.237,11.8666,,130.5299,
KR0074,라이나생명보험,X,생명보험,2025.4Q,4618.4,400.052,11.5445,,97.5613,
KR0003,롯데손해보험,000400,손해보험,2023.1Q,1553.18,109.3419,14.2048,1553.18,109.3419,14.2048
KR0003,롯데손해보험,000400,손해보험,2023.2Q,2654.34,194.3259,13.6592,1101.16,84.984,12.9573
KR0003,롯데손해보험,000400,손해보험,2023.3Q,4092.1,301.6929,13.5638,1437.76,107.367,13.3911
KR0003,롯데손해보험,000400,손해보험,2023.4Q,5478.9,405.1654,13.5226,1386.8,103.4725,13.4026
KR0003,롯데손해보험,000400,손해보험,2024.1Q,1266.7,101.9312,12.427,1266.7,101.9312,12.427
KR0003,롯데손해보험,000400,손해보험,2024.2Q,2532.0,202.0392,12.5322,1265.3,100.108,12.6393
KR0003,롯데손해보험,000400,손해보험,2024.3Q,3645.5,294.9411,12.3601,1113.5,92.9019,11.9858
KR0003,롯데손해보험,000400,손해보험,2024.4Q,4852.5,392.0166,12.3783,1207.0,97.0755,12.4336
KR0003,롯데손해보험,000400,손해보험,2025.1Q,1098.5,91.799,11.9664,1098.5,91.799,11.9664
KR0003,롯데손해보험,000400,손해보험,2025.2Q,2135.4,163.8408,13.0334,1036.9,72.0418,14.393
KR0003,롯데손해보험,000400,손해보험,2025.3Q,3147.3,244.0686,12.8951,1011.9,80.2278,12.6128
KR0003,롯데손해보험,000400,손해보험,2025.4Q,4121.7,328.6457,12.5415,974.4,84.5771,11.5208
KR0003,롯데손해보험,000400,손해보험,2026.1Q,794.8,53.9543,14.731,794.8,53.9543,14.731
KR0001,메리츠화재해상보험,000060,손해보험,2023.1Q,4282.7,288.9073,14.8238,4282.7,288.9073,14.8238
KR0001,메리츠화재해상보험,000060,손해보험,2023.2Q,8242.9,563.5777,14.626,3960.2,274.6704,14.418
KR0001,메리츠화재해상보험,000060,손해보험,2023.3Q,12346.8,836.746,14.7557,4103.9,273.1683,15.0233
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,16006.5,1099.408,14.5592,3659.7,262.662,13.9331
KR0001,메리츠화재해상보험,000060,손해보험,2024.1Q,3722.7,306.6833,12.1386,3722.7,306.6833,12.1386
KR0001,메리츠화재해상보험,000060,손해보험,2024.2Q,7141.9,596.3623,11.9758,3419.2,289.679,11.8034
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,10553.8,887.9028,11.8862,3411.9,291.5405,11.703
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,13795.7,1232.3304,11.1948,3241.9,344.4276,9.4124
KR0001,메리츠화재해상보험,000060,손해보험,2025.1Q,3567.9,290.1184,12.2981,3567.9,290.1184,12.2981
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,7299.4,593.2791,12.3035,3731.5,303.1607,12.3087
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,11530.1,931.4765,12.3783,4230.7,338.1974,12.5096
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,15881.7,1304.2305,12.1771,4351.6,372.754,11.6742
KR0001,메리츠화재해상보험,000060,손해보험,2026.1Q,4402.5,348.1609,12.645,4402.5,348.1609,12.645
KR0095,메트라이프생명보험,X,생명보험,2024.4Q,3742.1,395.2029,9.4688,,125.4654,
KR0095,메트라이프생명보험,X,생명보험,2025.4Q,4951.0,590.4573,8.385,,174.956,
KR0079,미래에셋생명보험,085620,생명보험,2023.1Q,572.47,43.8719,13.0487,572.47,43.8719,13.0487
KR0079,미래에셋생명보험,085620,생명보험,2023.2Q,1261.5,97.375,12.9551,689.03,53.5031,12.8783
KR0079,미래에셋생명보험,085620,생명보험,2023.3Q,2116.4,168.0662,12.5927,854.9,70.6912,12.0934
KR0079,미래에셋생명보험,085620,생명보험,2023.4Q,2920.5,229.2871,12.7373,804.1,61.2209,13.1344
KR0079,미래에셋생명보험,085620,생명보험,2024.1Q,962.0,100.1944,9.6013,962.0,100.1944,9.6013
KR0079,미래에셋생명보험,085620,생명보험,2024.2Q,1723.9,199.1425,8.6566,761.9,98.9481,7.7
KR0079,미래에셋생명보험,085620,생명보험,2024.3Q,2742.6,295.3125,9.2871,1018.7,96.17,10.5927
KR0079,미래에셋생명보험,085620,생명보험,2024.4Q,3946.1,395.5097,9.9773,1203.5,100.1972,12.0113
KR0079,미래에셋생명보험,085620,생명보험,2025.1Q,1410.4,120.6873,11.6864,1410.4,120.6873,11.6864
KR0079,미래에셋생명보험,085620,생명보험,2025.2Q,2451.95,214.9532,11.4069,1041.55,94.2659,11.0491
KR0079,미래에셋생명보험,085620,생명보험,2025.3Q,3962.89,356.1365,11.1274,1510.94,141.1833,10.702
KR0079,미래에셋생명보험,085620,생명보험,2025.4Q,5398.78,476.5656,11.3285,1435.89,120.4291,11.9231
KR0079,미래에셋생명보험,085620,생명보험,2026.1Q,1506.8,136.6716,11.025,1506.8,136.6716,11.025
KR0075,비엔피파리바카디프생명보험,X,생명보험,2024.4Q,9.831,95.3621,0.1031,,32.0692,
KR0075,비엔피파리바카디프생명보험,X,생명보험,2025.4Q,12.847,149.1945,0.0861,,50.9988,
KR0069,삼성생명보험,032830,생명보험,2023.1Q,8460.4,515.3036,16.4183,8460.4,515.3036,16.4183
KR0069,삼성생명보험,032830,생명보험,2023.2Q,18159.3,1250.8775,14.5172,9698.9,735.5739,13.1855
KR0069,삼성생명보험,032830,생명보험,2023.3Q,27723.7,1840.7057,15.0615,9564.4,589.8282,16.2156
KR0069,삼성생명보험,032830,생명보험,2023.4Q,36281.5,2329.9985,15.5715,8557.8,489.2928,17.4901
KR0069,삼성생명보험,032830,생명보험,2024.1Q,8576.0,790.1961,10.853,8576.0,790.1961,10.853
KR0069,삼성생명보험,032830,생명보험,2024.2Q,16460.6,1413.7376,11.6433,7884.6,623.5415,12.6449
KR0069,삼성생명보험,032830,생명보험,2024.3Q,24806.7,2225.1364,11.1484,8346.1,811.3988,10.2861
KR0069,삼성생명보험,032830,생명보험,2024.4Q,32606.0,3026.4819,10.7736,7799.3,801.3455,9.7328
KR0069,삼성생명보험,032830,생명보험,2025.1Q,6577.7,708.1445,9.2886,6577.7,708.1445,9.2886
KR0069,삼성생명보험,032830,생명보험,2025.2Q,14263.4,1359.6229,10.4907,7685.7,651.4784,11.7973
KR0069,삼성생명보험,032830,생명보험,2025.3Q,22977.5,2098.9439,10.9472,8714.1,739.321,11.7866
KR0069,삼성생명보험,032830,생명보험,2025.4Q,30594.7,2789.1317,10.9693,7617.2,690.1878,11.0364
KR0069,삼성생명보험,032830,생명보험,2026.1Q,8485.7,739.6277,11.4729,8485.7,739.6277,11.4729
KR0008,삼성화재해상보험,000810,손해보험,2023.1Q,6782.7,443.9899,15.2767,6782.7,443.9899,15.2767
KR0008,삼성화재해상보험,000810,손해보험,2023.2Q,14426.0,890.1681,16.2059,7643.3,446.1782,17.1306
KR0008,삼성화재해상보험,000810,손해보험,2023.3Q,26067.9,1417.4342,18.3909,11641.9,527.2661,22.0797
KR0008,삼성화재해상보험,000810,손해보험,2023.4Q,34995.3,1882.6409,18.5884,8927.4,465.2067,19.1902
KR0008,삼성화재해상보험,000810,손해보험,2024.1Q,8855.5,585.233,15.1316,8855.5,585.233,15.1316
KR0008,삼성화재해상보험,000810,손해보험,2024.2Q,16382.7,1110.624,14.7509,7527.2,525.391,14.3269
KR0008,삼성화재해상보험,000810,손해보험,2024.3Q,24767.9,1655.9938,14.9565,8385.2,545.3698,15.3753
KR0008,삼성화재해상보험,000810,손해보험,2024.4Q,34511.8,2292.0242,15.0573,9743.9,636.0304,15.3199
KR0008,삼성화재해상보험,000810,손해보험,2025.1Q,7015.2,595.8668,11.7731,7015.2,595.8668,11.7731
KR0008,삼성화재해상보험,000810,손해보험,2025.2Q,14212.5,1125.5098,12.6276,7197.3,529.643,13.589
KR0008,삼성화재해상보험,000810,손해보험,2025.3Q,21881.7,1645.2983,13.2995,7669.2,519.7885,14.7545
KR0008,삼성화재해상보험,000810,손해보험,2025.4Q,28983.7,2157.9901,13.4309,7102.0,512.6918,13.8524
KR0008,삼성화재해상보험,000810,손해보험,2026.1Q,6267.3,446.8069,14.0269,6267.3,446.8069,14.0269
KR0094,신한라이프생명보험,X,생명보험,2023.1Q,2207.9,186.2031,11.8575,2207.9,186.2031,11.8575
KR0094,신한라이프생명보험,X,생명보험,2023.2Q,4378.8,362.6825,12.0734,2170.9,176.4794,12.3012
KR0094,신한라이프생명보험,X,생명보험,2023.3Q,7260.7,618.6465,11.7364,2881.9,255.964,11.259
KR0094,신한라이프생명보험,X,생명보험,2023.4Q,9017.8,755.8881,11.9301,1757.1,137.2416,12.803
KR0094,신한라이프생명보험,X,생명보험,2024.1Q,3766.0,413.529,9.107,3766.0,413.529,9.107
KR0094,신한라이프생명보험,X,생명보험,2024.2Q,6231.1,650.5536,9.5782,2465.1,237.0246,10.4002
KR0094,신한라이프생명보험,X,생명보험,2024.3Q,9490.7,982.2988,9.6617,3259.6,331.7452,9.8256
KR0094,신한라이프생명보험,X,생명보험,2024.4Q,12646.8,1279.3743,9.8851,3156.1,297.0755,10.6239
KR0094,신한라이프생명보험,X,생명보험,2025.1Q,3668.9,294.9239,12.4402,3668.9,294.9239,12.4402
KR0094,신한라이프생명보험,X,생명보험,2025.2Q,7045.0,555.3993,12.6846,3376.1,260.4754,12.9613
KR0094,신한라이프생명보험,X,생명보험,2025.3Q,12007.1,998.7695,12.0219,4962.1,443.3702,11.1918
KR0094,신한라이프생명보험,X,생명보험,2025.4Q,16460.0,1356.736,12.1321,4452.9,357.9665,12.4394
KR0094,신한라이프생명보험,X,생명보험,2026.1Q,3628.6,269.5524,13.4616,3628.6,269.5524,13.4616
KR0076,아이엠라이프생명보험,X,생명보험,2024.4Q,1356.6,162.2586,8.3607,,45.1166,
KR0076,아이엠라이프생명보험,X,생명보험,2025.4Q,1599.8,181.3133,8.8234,,34.4956,
KR0076,아이엠라이프생명보험,X,생명보험,2023.4Q,2489.3,,,,,
KR0049,악사손해보험,X,손해보험,2024.4Q,528.2,52.8015,10.0035,,12.7581,
KR0049,악사손해보험,X,손해보험,2025.4Q,505.1,45.1221,11.1941,,10.9936,
KR0049,악사손해보험,X,손해보험,2023.4Q,534.8,,,,,
KR0070,에이비엘생명보험,X,생명보험,2023.1Q,604.3,48.4134,12.4821,604.3,48.4134,12.4821
KR0070,에이비엘생명보험,X,생명보험,2023.2Q,1655.3,137.3285,12.0536,1051.0,88.9151,11.8203
KR0070,에이비엘생명보험,X,생명보험,2023.3Q,2778.5,246.1094,11.2897,1123.2,108.7809,10.3253
KR0070,에이비엘생명보험,X,생명보험,2023.4Q,3475.9,313.8664,11.0745,697.4,67.757,10.2927
KR0070,에이비엘생명보험,X,생명보험,2024.1Q,866.6,99.1102,8.7438,866.6,99.1102,8.7438
KR0070,에이비엘생명보험,X,생명보험,2024.2Q,1389.6,181.3728,7.6616,523.0,82.2626,6.3577
KR0070,에이비엘생명보험,X,생명보험,2024.3Q,1937.6,269.8638,7.1799,548.0,88.491,6.1927
KR0070,에이비엘생명보험,X,생명보험,2024.4Q,2458.4,380.1953,6.4662,520.8,110.3315,4.7203
KR0070,에이비엘생명보험,X,생명보험,2025.1Q,552.9,86.5854,6.3856,552.9,86.5854,6.3856
KR0070,에이비엘생명보험,X,생명보험,2025.2Q,1182.2,191.1241,6.1855,629.3,104.5387,6.0198
KR0070,에이비엘생명보험,X,생명보험,2025.3Q,2303.8,309.2652,7.4493,1121.6,118.1411,9.4937
KR0070,에이비엘생명보험,X,생명보험,2025.4Q,3390.2,399.275,8.4909,1086.4,90.0098,12.0698
KR0070,에이비엘생명보험,X,생명보험,2026.1Q,1177.2,115.2876,10.211,1177.2,115.2876,10.211
KR0004,예별손해보험,X,손해보험,2023.4Q,509.7,,,,,
KR0004,예별손해보험,X,손해보험,2024.4Q,174.3,,,,,
KR0004,예별손해보험,X,손해보험,2025.4Q,-11.7,,,,,
KR0100,처브라이프생명보험,X,생명보험,2024.4Q,30.5,15.1035,2.0194,,7.5689,
KR0100,처브라이프생명보험,X,생명보험,2025.4Q,61.1,25.4119,2.4044,,4.4375,
KR1098,카카오페이손해보험,X,손해보험,2024.4Q,0.0181,1.4122,0.0128,,0.923,
KR1098,카카오페이손해보험,X,손해보험,2025.4Q,20.1876,6.7947,2.9711,,3.5392,
KR0072,케이디비생명보험,X,생명보험,2023.1Q,387.3,35.9011,10.788,387.3,35.9011,10.788
KR0072,케이디비생명보험,X,생명보험,2023.2Q,1174.0,101.4133,11.5764,786.7,65.5122,12.0085
KR0072,케이디비생명보험,X,생명보험,2023.3Q,2210.7,181.7107,12.166,1036.7,80.2974,12.9108
KR0072,케이디비생명보험,X,생명보험,2023.4Q,3023.1,239.5447,12.6202,812.4,57.834,14.0471
KR0072,케이디비생명보험,X,생명보험,2024.1Q,1238.1,141.2899,8.7628,1238.1,141.2899,8.7628
KR0072,케이디비생명보험,X,생명보험,2024.2Q,1876.5,206.3918,9.0919,638.4,65.1019,9.8062
KR0072,케이디비생명보험,X,생명보험,2024.3Q,2532.4,286.9559,8.825,655.9,80.5641,8.1413
KR0072,케이디비생명보험,X,생명보험,2024.4Q,3282.2,379.7591,8.6428,749.8,92.8032,8.0795
KR0072,케이디비생명보험,X,생명보험,2025.1Q,744.2,85.3962,8.7147,744.2,85.3962,8.7147
KR0072,케이디비생명보험,X,생명보험,2025.2Q,1250.7,148.0908,8.4455,506.5,62.6946,8.0788
KR0072,케이디비생명보험,X,생명보험,2025.3Q,1731.1,193.1076,8.9644,480.4,45.0168,10.6716
KR0072,케이디비생명보험,X,생명보험,2025.4Q,2337.9,238.2184,9.8141,606.8,45.1108,13.4513
KR0072,케이디비생명보험,X,생명보험,2026.1Q,573.9,43.1877,13.2885,573.9,43.1877,13.2885
KR1000,코리안리재보험,003690,손해보험,2023.1Q,1095.36,0.0,,1095.36,0.0,
KR1000,코리안리재보험,003690,손해보험,2023.2Q,1164.75,0.0,,69.39,0.0,
KR1000,코리안리재보험,003690,손해보험,2023.3Q,1354.42,0.0,,189.67,0.0,
KR1000,코리안리재보험,003690,손해보험,2023.4Q,2416.5,0.0,,1062.08,0.0,
KR1000,코리안리재보험,003690,손해보험,2024.1Q,1042.4,0.0,,1042.4,0.0,
KR1000,코리안리재보험,003690,손해보험,2024.2Q,1113.7,0.0,,71.3,0.0,
KR1000,코리안리재보험,003690,손해보험,2024.3Q,1194.9,0.0,,81.2,0.0,
KR1000,코리안리재보험,003690,손해보험,2024.4Q,1955.1,0.0,,760.2,0.0,
KR1000,코리안리재보험,003690,손해보험,2025.1Q,724.6,0.0,,724.6,0.0,
KR1000,코리안리재보험,003690,손해보험,2025.2Q,740.8,0.0,,16.2,0.0,
KR1000,코리안리재보험,003690,손해보험,2025.3Q,765.4,0.0,,24.6,0.0,
KR1000,코리안리재보험,003690,손해보험,2025.4Q,916.1,0.0,,150.7,0.0,
