원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,공시분기,값,값_적용후
KR0001,메리츠화재해상보험,000060,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,0,0
KR0001,메리츠화재해상보험,000060,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.1Q,40,40
KR0001,메리츠화재해상보험,000060,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.1Q,0,0
KR0001,메리츠화재해상보험,000060,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,202.19853548,202.19853548
KR0001,메리츠화재해상보험,000060,손해보험,28,기본자본비율,2023.1Q,63.76455301,68.76920646
KR0002,한화손해보험,000370,손해보험,1,가. 지급여력금액,2023.1Q,57223,57223
KR0002,한화손해보험,000370,손해보험,2,기본자본,2023.1Q,26838,31073
KR0002,한화손해보험,000370,손해보험,3,보완자본,2023.1Q,30385,26150
KR0002,한화손해보험,000370,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,51965,
KR0002,한화손해보험,000370,손해보험,5,1. 보통주,2023.1Q,6739,
KR0002,한화손해보험,000370,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,6135,
KR0002,한화손해보험,000370,손해보험,7,3. 이익잉여금,2023.1Q,20348,
KR0002,한화손해보험,000370,손해보험,8,4. 자본조정,2023.1Q,12,
KR0002,한화손해보험,000370,손해보험,9,5. 기타포괄손익누계액,2023.1Q,-1361,
KR0002,한화손해보험,000370,손해보험,10,6. 비지배지분,2023.1Q,0,
KR0002,한화손해보험,000370,손해보험,11,7. 조정준비금,2023.1Q,20092,
KR0002,한화손해보험,000370,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,639,
KR0002,한화손해보험,000370,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,24488,
KR0002,한화손해보험,000370,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,32387,22492
KR0002,한화손해보험,000370,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,42455,29484
KR0002,한화손해보험,000370,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,11174,10242
KR0002,한화손해보험,000370,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,35129,21226
KR0002,한화손해보험,000370,손해보험,18,2. 일반손해보험위험액,2023.1Q,2834,2834
KR0002,한화손해보험,000370,손해보험,19,3. 시장위험액,2023.1Q,9579,9579
KR0002,한화손해보험,000370,손해보험,20,4. 신용위험액,2023.1Q,3943,3943
KR0002,한화손해보험,000370,손해보험,21,5. 운영위험액,2023.1Q,2144,2144
KR0002,한화손해보험,000370,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,10068,6992
KR0002,한화손해보험,000370,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,176.6850897,254.41490308
KR0002,한화손해보험,000370,손해보험,28,기본자본비율,2023.1Q,82.86658227,138.1513427
KR0003,롯데손해보험,000400,손해보험,1,가. 지급여력금액,2023.1Q,25846,25846
KR0003,롯데손해보험,000400,손해보험,2,기본자본,2023.1Q,8034,8469
KR0003,롯데손해보험,000400,손해보험,3,보완자본,2023.1Q,17812,17377
KR0003,롯데손해보험,000400,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,22293,
KR0003,롯데손해보험,000400,손해보험,5,1. 보통주,2023.1Q,6902,
KR0003,롯데손해보험,000400,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,454,
KR0003,롯데손해보험,000400,손해보험,7,3. 이익잉여금,2023.1Q,4788,
KR0003,롯데손해보험,000400,손해보험,8,4. 자본조정,2023.1Q,-10,
KR0003,롯데손해보험,000400,손해보험,9,5. 기타포괄손익누계액,2023.1Q,3538,
KR0003,롯데손해보험,000400,손해보험,11,7. 조정준비금,2023.1Q,6621,
KR0003,롯데손해보험,000400,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,30,
KR0003,롯데손해보험,000400,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,14248,
KR0003,롯데손해보험,000400,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,18769,14493
KR0003,롯데손해보험,000400,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,22421,18145
KR0003,롯데손해보험,000400,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,8052,7054
KR0003,롯데손해보험,000400,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,14658,9384
KR0003,롯데손해보험,000400,손해보험,18,2. 일반손해보험위험액,2023.1Q,523,523
KR0003,롯데손해보험,000400,손해보험,19,3. 시장위험액,2023.1Q,9160,9160
KR0003,롯데손해보험,000400,손해보험,20,4. 신용위험액,2023.1Q,5059,5059
KR0003,롯데손해보험,000400,손해보험,21,5. 운영위험액,2023.1Q,1073,1073
KR0003,롯데손해보험,000400,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,3652,3652
KR0003,롯데손해보험,000400,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,0,0
KR0003,롯데손해보험,000400,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,0,
KR0003,롯데손해보험,000400,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.1Q,0,
KR0003,롯데손해보험,000400,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.1Q,0,
KR0003,롯데손해보험,000400,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,137.70579146,178.33436832
KR0003,롯데손해보험,000400,손해보험,28,기본자본비율,2023.1Q,42.80462465,58.4351066
KR0005,흥국화재,000540,손해보험,1,가. 지급여력금액,2023.1Q,28180,28180
KR0005,흥국화재,000540,손해보험,2,기본자본,2023.1Q,12464,14584.35
KR0005,흥국화재,000540,손해보험,3,보완자본,2023.1Q,15715,13595.3
KR0005,흥국화재,000540,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,25695,
KR0005,흥국화재,000540,손해보험,5,1. 보통주,2023.1Q,3212,
KR0005,흥국화재,000540,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,2166,
KR0005,흥국화재,000540,손해보험,7,3. 이익잉여금,2023.1Q,2944,
KR0005,흥국화재,000540,손해보험,9,5. 기타포괄손익누계액,2023.1Q,6059,
KR0005,흥국화재,000540,손해보험,11,7. 조정준비금,2023.1Q,11314,
KR0005,흥국화재,000540,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,21303,13815.08
KR0005,흥국화재,000540,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,26697,17888.61
KR0005,흥국화재,000540,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,7750,5822.56
KR0005,흥국화재,000540,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,20804,13093.59
KR0005,흥국화재,000540,손해보험,18,2. 일반손해보험위험액,2023.1Q,715,707.97
KR0005,흥국화재,000540,손해보험,19,3. 시장위험액,2023.1Q,8132,5113.61
KR0005,흥국화재,000540,손해보험,20,4. 신용위험액,2023.1Q,3704,3704
KR0005,흥국화재,000540,손해보험,21,5. 운영위험액,2023.1Q,1092,1092
KR0005,흥국화재,000540,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,5393,4073.53
KR0005,흥국화재,000540,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,132.28183824,203.98
KR0005,흥국화재,000540,손해보험,28,기본자본비율,2023.1Q,58.50819133,105.57
KR0008,삼성화재해상보험,000810,손해보험,1,가. 지급여력금액,2023.1Q,213690,213690
KR0008,삼성화재해상보험,000810,손해보험,2,기본자본,2023.1Q,126210,126210
KR0008,삼성화재해상보험,000810,손해보험,3,보완자본,2023.1Q,87480,87480
KR0008,삼성화재해상보험,000810,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,214911,214911
KR0008,삼성화재해상보험,000810,손해보험,5,1. 보통주,2023.1Q,6126,6126
KR0008,삼성화재해상보험,000810,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,73,73
KR0008,삼성화재해상보험,000810,손해보험,7,3. 이익잉여금,2023.1Q,110069,110069
KR0008,삼성화재해상보험,000810,손해보험,8,4. 자본조정,2023.1Q,-14872,-14872
KR0008,삼성화재해상보험,000810,손해보험,9,5. 기타포괄손익누계액,2023.1Q,27111,27111
KR0008,삼성화재해상보험,000810,손해보험,10,6. 비지배지분,2023.1Q,0,0
KR0008,삼성화재해상보험,000810,손해보험,11,7. 조정준비금,2023.1Q,86404,86404
KR0008,삼성화재해상보험,000810,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,1221,1221
KR0008,삼성화재해상보험,000810,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,87480,87480
KR0008,삼성화재해상보험,000810,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,77636,77636
KR0008,삼성화재해상보험,000810,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,103773,103773
KR0008,삼성화재해상보험,000810,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,46200,46200
KR0008,삼성화재해상보험,000810,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,55647,55647
KR0008,삼성화재해상보험,000810,손해보험,18,2. 일반손해보험위험액,2023.1Q,17466,17466
KR0008,삼성화재해상보험,000810,손해보험,19,3. 시장위험액,2023.1Q,50735,50735
KR0008,삼성화재해상보험,000810,손해보험,20,4. 신용위험액,2023.1Q,19289,19289
KR0008,삼성화재해상보험,000810,손해보험,21,5. 운영위험액,2023.1Q,6836,6836
KR0008,삼성화재해상보험,000810,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,26594,26594
KR0008,삼성화재해상보험,000810,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,457,457
KR0008,삼성화재해상보험,000810,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.1Q,457,457
KR0008,삼성화재해상보험,000810,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,275.24601989,275.24601989
KR0008,삼성화재해상보험,000810,손해보험,28,기본자본비율,2023.1Q,162.56633521,162.56633521
KR0009,현대해상,001450,손해보험,1,가. 지급여력금액,2023.1Q,133398,133398
KR0009,현대해상,001450,손해보험,2,기본자본,2023.1Q,73537,73537
KR0009,현대해상,001450,손해보험,3,보완자본,2023.1Q,59861,59861
KR0009,현대해상,001450,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,127231,127231
KR0009,현대해상,001450,손해보험,5,1. 보통주,2023.1Q,1579,1579
KR0009,현대해상,001450,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,4983,4983
KR0009,현대해상,001450,손해보험,7,3. 이익잉여금,2023.1Q,73654,73654
KR0009,현대해상,001450,손해보험,8,4. 자본조정,2023.1Q,-677,-677
KR0009,현대해상,001450,손해보험,9,5. 기타포괄손익누계액,2023.1Q,-1174,-1174
KR0009,현대해상,001450,손해보험,10,6. 비지배지분,2023.1Q,0,0
KR0009,현대해상,001450,손해보험,11,7. 조정준비금,2023.1Q,48867,48867
KR0009,현대해상,001450,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,0,0
KR0009,현대해상,001450,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,53694,53694
KR0009,현대해상,001450,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,74686,74686
KR0009,현대해상,001450,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,98852,98852
KR0009,현대해상,001450,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,34925,34925
KR0009,현대해상,001450,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,73924,73924
KR0009,현대해상,001450,손해보험,18,2. 일반손해보험위험액,2023.1Q,11536,11536
KR0009,현대해상,001450,손해보험,19,3. 시장위험액,2023.1Q,31496,31496
KR0009,현대해상,001450,손해보험,20,4. 신용위험액,2023.1Q,11429,11429
KR0009,현대해상,001450,손해보험,21,5. 운영위험액,2023.1Q,5392,5392
KR0009,현대해상,001450,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,24345,24345
KR0009,현대해상,001450,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,179,179
KR0009,현대해상,001450,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,179,179
KR0009,현대해상,001450,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,178.61178802,178.61178802
KR0009,현대해상,001450,손해보험,28,기본자본비율,2023.1Q,98.46155906,98.46155906
KR0010,KB손해보험,002550,손해보험,1,가. 지급여력금액,2023.1Q,107963,107963
KR0010,KB손해보험,002550,손해보험,2,기본자본,2023.1Q,57082,57082
KR0010,KB손해보험,002550,손해보험,3,보완자본,2023.1Q,50881,50881
KR0010,KB손해보험,002550,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,101871,101871
KR0010,KB손해보험,002550,손해보험,5,1. 보통주,2023.1Q,3817,3817
KR0010,KB손해보험,002550,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,0,0
KR0010,KB손해보험,002550,손해보험,7,3. 이익잉여금,2023.1Q,51313,51313
KR0010,KB손해보험,002550,손해보험,8,4. 자본조정,2023.1Q,0,0
KR0010,KB손해보험,002550,손해보험,9,5. 기타포괄손익누계액,2023.1Q,2568,2568
KR0010,KB손해보험,002550,손해보험,10,6. 비지배지분,2023.1Q,0,0
KR0010,KB손해보험,002550,손해보험,11,7. 조정준비금,2023.1Q,44173,44173
KR0010,KB손해보험,002550,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,492,492
KR0010,KB손해보험,002550,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,44297,44297
KR0010,KB손해보험,002550,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,55650,55650
KR0010,KB손해보험,002550,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,75309,75308.82
KR0010,KB손해보험,002550,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,27910,27910
KR0010,KB손해보험,002550,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,54250,54250
KR0010,KB손해보험,002550,손해보험,18,2. 일반손해보험위험액,2023.1Q,8281,8281
KR0010,KB손해보험,002550,손해보험,19,3. 시장위험액,2023.1Q,25325,25325
KR0010,KB손해보험,002550,손해보험,20,4. 신용위험액,2023.1Q,11207,11207
KR0010,KB손해보험,002550,손해보험,21,5. 운영위험액,2023.1Q,4156,4156
KR0010,KB손해보험,002550,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,19659,19659
KR0010,KB손해보험,002550,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,0,0
KR0010,KB손해보험,002550,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,0,0
KR0010,KB손해보험,002550,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,194.00359389,194.00359389
KR0010,KB손해보험,002550,손해보험,28,기본자본비율,2023.1Q,102.57322552,102.57322552
KR0011,DB손해보험,005830,손해보험,1,가. 지급여력금액,2023.1Q,178661,178661.37
KR0011,DB손해보험,005830,손해보험,2,기본자본,2023.1Q,84879,85575.65
KR0011,DB손해보험,005830,손해보험,3,보완자본,2023.1Q,93783,93085.72
KR0011,DB손해보험,005830,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,171858,
KR0011,DB손해보험,005830,손해보험,5,1. 보통주,2023.1Q,354,
KR0011,DB손해보험,005830,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,0,
KR0011,DB손해보험,005830,손해보험,7,3. 이익잉여금,2023.1Q,94900,
KR0011,DB손해보험,005830,손해보험,8,4. 자본조정,2023.1Q,-1525,
KR0011,DB손해보험,005830,손해보험,9,5. 기타포괄손익누계액,2023.1Q,-749,
KR0011,DB손해보험,005830,손해보험,10,6. 비지배지분,2023.1Q,0,
KR0011,DB손해보험,005830,손해보험,11,7. 조정준비금,2023.1Q,78878,
KR0011,DB손해보험,005830,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,714,
KR0011,DB손해보험,005830,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,86265,
KR0011,DB손해보험,005830,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,84878,84878
KR0011,DB손해보험,005830,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,110691,110691.2
KR0011,DB손해보험,005830,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,41693,41693
KR0011,DB손해보험,005830,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,80545,80545
KR0011,DB손해보험,005830,손해보험,18,2. 일반손해보험위험액,2023.1Q,11642,11642
KR0011,DB손해보험,005830,손해보험,19,3. 시장위험액,2023.1Q,30086,30086
KR0011,DB손해보험,005830,손해보험,20,4. 신용위험액,2023.1Q,24213,24213
KR0011,DB손해보험,005830,손해보험,21,5. 운영위험액,2023.1Q,5898,5898
KR0011,DB손해보험,005830,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,26490,26490
KR0011,DB손해보험,005830,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,677,677
KR0011,DB손해보험,005830,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,327,327
KR0011,DB손해보험,005830,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.1Q,0,0
KR0011,DB손해보험,005830,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.1Q,350,350
KR0011,DB손해보험,005830,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,210.49152902,210.49146895
KR0011,DB손해보험,005830,손해보험,28,기본자본비율,2023.1Q,100.00117816,100.82194444
KR0032,NH농협손해보험,X,손해보험,1,가. 지급여력금액,2023.1Q,26303,26303
KR0032,NH농협손해보험,X,손해보험,2,기본자본,2023.1Q,16608,16608
KR0032,NH농협손해보험,X,손해보험,3,보완자본,2023.1Q,9695,9695
KR0032,NH농협손해보험,X,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,25389,
KR0032,NH농협손해보험,X,손해보험,5,1. 보통주,2023.1Q,6599,
KR0032,NH농협손해보험,X,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,7,3. 이익잉여금,2023.1Q,9162,
KR0032,NH농협손해보험,X,손해보험,8,4. 자본조정,2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,9,5. 기타포괄손익누계액,2023.1Q,2192,
KR0032,NH농협손해보험,X,손해보험,10,6. 비지배지분,2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,11,7. 조정준비금,2023.1Q,7436,
KR0032,NH농협손해보험,X,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,8780,
KR0032,NH농협손해보험,X,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,11068,7966
KR0032,NH농협손해보험,X,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,14314,
KR0032,NH농협손해보험,X,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,5051,
KR0032,NH농협손해보험,X,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,10535,
KR0032,NH농협손해보험,X,손해보험,18,2. 일반손해보험위험액,2023.1Q,2050,
KR0032,NH농협손해보험,X,손해보험,19,3. 시장위험액,2023.1Q,3076,
KR0032,NH농협손해보험,X,손해보험,20,4. 신용위험액,2023.1Q,2347,
KR0032,NH농협손해보험,X,손해보험,21,5. 운영위험액,2023.1Q,1357,
KR0032,NH농협손해보험,X,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,3247,
KR0032,NH농협손해보험,X,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,25,2. 비례성원칙을 적용한 종속회사의 요구자본 대응치,2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,26,3. 업권별 자본규제를 활용한 관계회사의 요구자본 환산치,2023.1Q,0,
KR0032,NH농협손해보험,X,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,237.64907842,330.2
KR0032,NH농협손해보험,X,손해보험,28,기본자본비율,2023.1Q,150.05421034,208.48606578
KR0049,악사손해보험,X,손해보험,1,가. 지급여력금액,2023.1Q,4898,4898
KR0049,악사손해보험,X,손해보험,2,기본자본,2023.1Q,3619,3619
KR0049,악사손해보험,X,손해보험,3,보완자본,2023.1Q,1279,1279
KR0049,악사손해보험,X,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,4561,
KR0049,악사손해보험,X,손해보험,5,1. 보통주,2023.1Q,2509,
KR0049,악사손해보험,X,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,0,
KR0049,악사손해보험,X,손해보험,7,3. 이익잉여금,2023.1Q,828,
KR0049,악사손해보험,X,손해보험,8,4. 자본조정,2023.1Q,0,
KR0049,악사손해보험,X,손해보험,9,5. 기타포괄손익누계액,2023.1Q,37,
KR0049,악사손해보험,X,손해보험,10,6. 비지배지분,2023.1Q,0,
KR0049,악사손해보험,X,손해보험,11,7. 조정준비금,2023.1Q,1188,
KR0049,악사손해보험,X,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,0,
KR0049,악사손해보험,X,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,942,
KR0049,악사손해보험,X,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,2123,1834.39
KR0049,악사손해보험,X,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,2170,1881.36
KR0049,악사손해보험,X,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,980,735.4
KR0049,악사손해보험,X,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,989,514.63
KR0049,악사손해보험,X,손해보험,18,2. 일반손해보험위험액,2023.1Q,1339,1280.21
KR0049,악사손해보험,X,손해보험,19,3. 시장위험액,2023.1Q,413,412.77
KR0049,악사손해보험,X,손해보험,20,4. 신용위험액,2023.1Q,151,151
KR0049,악사손해보험,X,손해보험,21,5. 운영위험액,2023.1Q,259,259
KR0049,악사손해보험,X,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,47,47
KR0049,악사손해보험,X,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,0,0
KR0049,악사손해보험,X,손해보험,24,1. 업권별 자본규제를 활용한 종속회사의 요구자본 환산치,2023.1Q,0,
KR0049,악사손해보험,X,손해보험,27,다. 지급여력비율 : 가 ÷ 나 × 100,2023.1Q,230.71125765,267.03045699
KR0049,악사손해보험,X,손해보험,28,기본자본비율,2023.1Q,170.46632124,197.28629136
KR0050,하나손해보험,X,손해보험,1,가. 지급여력금액,2023.1Q,3507,3507
KR0050,하나손해보험,X,손해보험,2,기본자본,2023.1Q,2279,2279
KR0050,하나손해보험,X,손해보험,3,보완자본,2023.1Q,1228,1228
KR0050,하나손해보험,X,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,3539,3539
