company_jp,company_en,ticker,sector,category,edinet_code,edinet_eligible,parent_group,ir_url,ir_health_url,notes
第一生命ホールディングス,Dai-ichi Life Holdings,8750,生保,HD上場,E04506,yes,,https://www.dai-ichi-life-hd.com/investor/,,
第一生命保険,Dai-ichi Life Insurance,,生保,子会社,TBD,tbd,第一生命HD,https://www.dai-ichi-life.co.jp/company/results/kenzensei/,,株式会社→有報義務あり可能性
第一ネオ生命保険,Dai-ichi Frontier Life,,生保,子会社,TBD,tbd,第一生命HD,,,第一フロンティア生命と同一?
第一フロンティア生命保険,Dai-ichi Frontier Life,,生保,子会社,TBD,tbd,第一生命HD,,,
T&Dホールディングス,T&D Holdings,8795,生保,HD上場,E06008,yes,,https://www.td-holdings.co.jp/ir/,,
大同生命保険,Daido Life Insurance,,生保,子会社,TBD,tbd,T&D,https://www.daido-life.co.jp/,,KK→有報義務あり可能性
太陽生命保険,Taiyo Life Insurance,,生保,子会社,TBD,tbd,T&D,https://www.taiyo-seimei.co.jp/,,KK→有報義務あり可能性
T&Dフィナンシャル生命保険,T&D Financial Life,,生保,子会社,TBD,tbd,T&D,,,
ソニーフィナンシャルグループ,Sony Financial Group,8729,生保,HD上場,E33424,yes,,https://www.sonyfg.co.jp/ja/ir/,,
ソニー生命保険,Sony Life Insurance,,生保,子会社,TBD,tbd,ソニーFG,https://www.sonylife.co.jp/company/corporate/results/,,株式会社
ソニー損害保険,Sony Sompo Insurance,,損保,子会社,TBD,tbd,ソニーFG,,,
かんぽ生命保険,Japan Post Insurance,7181,生保,上場,E04678,yes,,https://www.jp-life.japanpost.jp/IR/,,単独上場
日本生命保険,Nippon Life Insurance,,生保,相互会社,none,no,,https://www.nissay.co.jp/kaisha/annai/gyoseki/kessan.html,https://www.nissay.co.jp/kaisha/annai/kenzen/,EDINET非対象
住友生命保険,Sumitomo Life Insurance,,生保,相互会社,none,no,,https://www.sumitomolife.co.jp/about/company/disclosure/settlement/,,EDINET非対象
明治安田生命保険,Meiji Yasuda Life Insurance,,生保,相互会社,none,no,,https://www.meijiyasuda.co.jp/profile/corporate_info/disclosure/account/,https://www.meijiyasuda.co.jp/profile/corporate_info/disclosure/data/,EDINET非対象
富国生命保険,Fukoku Life Insurance,,生保,相互会社,none,no,,https://www.fukoku-life.co.jp/about/finance/,https://www.fukoku-life.co.jp/about/finance/health/,EDINET非対象
朝日生命保険,Asahi Life Insurance,,生保,相互会社,none,no,,https://www.asahi-life.co.jp/company/zaimu/,,EDINET非対象
フコクしんらい生命保険,Fukoku Shinrai Life,,生保,子会社,TBD,tbd,富国生命,,,
オリックス生命保険,Orix Life Insurance,,生保,子会社,TBD,tbd,ORIX,https://www.orixlife.co.jp/company/,,
ライフネット生命保険,LifeNet Life Insurance,7157,生保,上場,TBD,yes,,https://ir.lifenet-seimei.co.jp/,,単独上場
楽天生命保険,Rakuten Life Insurance,,生保,子会社,TBD,tbd,楽天,https://www.rakuten-life.co.jp/,,
SBI生命保険,SBI Life Insurance,,生保,子会社,TBD,tbd,SBI,,,
なないろ生命保険,Nanairo Life,,生保,子会社,TBD,tbd,アフラック,,,旧アフラック生命から分離
アフラック生命保険,Aflac Life Japan,,生保,外資子会社,TBD,tbd,,https://www.aflac.co.jp/,,"米Aflac子会社, US Aflac連結"
メットライフ生命保険,MetLife Insurance Japan,,生保,外資子会社,TBD,tbd,,https://www.metlife.co.jp/,,米MetLife子会社
プルデンシャル生命保険,Prudential Life Japan,,生保,外資子会社,TBD,tbd,,https://www.prudential.co.jp/,,米Prudential Financial子会社
ジブラルタ生命保険,Gibraltar Life,,生保,外資子会社,TBD,tbd,,https://www.gib-life.co.jp/,,米Prudential Financial子会社
PGF生命,Prudential Gibraltar Financial Life,,生保,外資子会社,TBD,tbd,,,,米Prudential Financial子会社
マニュライフ生命保険,Manulife Life Japan,,生保,外資子会社,TBD,tbd,,https://www.manulife.co.jp/,,加Manulife子会社
チューリッヒ生命保険,Zurich Life Japan,,生保,外資子会社,TBD,tbd,,https://www.zurichlife.co.jp/,,スイスZurich子会社
アクサ生命保険,AXA Life Japan,,生保,外資子会社,TBD,tbd,,https://www.axa.co.jp/,,仏AXA子会社
カーディフ生命保険,Cardiff Life,,生保,外資子会社,TBD,tbd,,,,仏BNPパリバ子会社
エヌエヌ生命保険,NN Life Japan,,生保,外資子会社,TBD,tbd,,,,蘭NN Group子会社
FWD生命保険,FWD Life Japan,,生保,外資子会社,TBD,tbd,,https://www.fwdlife.co.jp/,,香FWD Group子会社
クレディ・アグリコル生命保険,Credit Agricole Life Japan,,生保,外資子会社,TBD,tbd,,,,仏Crédit Agricole子会社
SBIプリズム少額短期保険,SBI Prism,,生保,子会社,TBD,tbd,SBI,,,
みどり生命保険,Midori Life,,生保,子会社,TBD,tbd,,,,
ニッセイ・ウェルス生命保険,Nissay Wealth Life,,生保,子会社,TBD,tbd,日本生命,,,
はなさく生命保険,Hanasaku Life,,生保,子会社,TBD,tbd,日本生命,,,
明治安田トラスト生命保険,Meiji Yasuda Trust Life,,生保,子会社,TBD,tbd,明治安田,,,
大樹生命保険,Taiju Life,,生保,子会社,TBD,tbd,朝日生命,,,
メディケア生命保険,Medicare Life,,生保,外資子会社,TBD,tbd,,,,
共栄火災海上保険,Kyoei Fire & Marine,,損保,独立,E03850,yes,,https://irbank.net/E03850,,全国共済農協連合会が筆頭株主
あいおいニッセイ同和損害保険,Aioi Nissay Dowa,,損保,子会社,E03833,yes,MS&AD,,,,2027年三井住友海上と合併予定(重複)
アクサ損害保険,AXA Non-Life Japan,,損保,外資子会社,TBD,tbd,,,,
アニコム損害保険,Anicom Insurance,,損保,上場,TBD,yes,,https://www.anicom-sompo.co.jp/,,ペット保険特化
AIG損害保険,AIG Non-Life Japan,,損保,外資子会社,TBD,tbd,,,,
エイチ・エス損害保険,HS Non-Life,,損保,子会社,TBD,tbd,,,,
SBI損害保険,SBI Non-Life,,損保,子会社,TBD,tbd,SBI,,,
au損害保険,au Non-Life,,損保,子会社,TBD,tbd,KDDI,,,
NTTドコモ損害保険,NTT Docomo Non-Life,,損保,子会社,TBD,tbd,NTT,,,
キャピタル損害保険,Capital Non-Life,,損保,子会社,TBD,tbd,,,,
さくら損害保険,Sakura Non-Life,,損保,子会社,TBD,tbd,,,,
ジェイアイ傷害火災保険,JI Accidental Fire,,損保,子会社,TBD,tbd,,,,
セコム損害保険,SECOM Non-Life,,損保,子会社,TBD,tbd,SECOM,,,
全管協れいわ損害保険,Zenkankyou Reiwa,,損保,子会社,TBD,tbd,,,,
ソニー損害保険,Sony Non-Life,,損保,子会社,TBD,tbd,ソニーFG,,,
SOMPOダイレクト損害保険,Sompo Direct,,損保,子会社,TBD,tbd,Sompo,,,
第一アイペット損害保険,Dai-ichi iPet,,損保,子会社,TBD,tbd,第一生命,,,ペット保険
大同火災海上保険,Daido Fire & Marine,,損保,独立,TBD,tbd,,https://www.daidokasai.co.jp/,,沖縄・九州地盤
東京海上ダイレクト損害保険,Tokio Marine Direct,,損保,子会社,TBD,tbd,東京海上HD,,,
トーア再保険,Toa Reinsurance,,再保険,独立,TBD,tbd,,https://www.toare.co.jp/,,
日本地震再保険,Japan Earthquake Reinsurance,,再保険,独立,TBD,tbd,,,,
三井ダイレクト損害保険,Mitsui Direct,,損保,子会社,TBD,tbd,MS&AD,,,
明治安田損害保険,Meiji Yasuda Non-Life,,損保,子会社,TBD,tbd,明治安田,,,
楽天損害保険,Rakuten Non-Life,,損保,子会社,TBD,tbd,楽天,,,
レスキュー損害保険,Rescue Non-Life,,損保,子会社,TBD,tbd,,,,
ペット＆ファミリー損害保険,Pet & Family,,損保,子会社,TBD,tbd,,,,ペット保険
ヤマップネイチャランス損害保険,Yamap,,損保,子会社,TBD,tbd,,,,
