company_jp,company_en,sector,category,ir_url,disclosure_url,fy2025_esr_status,esr_pct,esr_scope,as_of,source_url,doc_type,checked_at,notes
損害保険ジャパン,Sompo Japan Insurance,損保,子会社,https://www.sompo-japan.co.jp/,https://www.sompo-japan.co.jp/-/media/SJNK/files/company/disclosure/2026/sj_disc2026.pdf?la=ja-JP,not_yet,,,,,,2026-09-13,"티켓 inbox/jp/20260913T0230Z 실측: 본편(292p) 확보·확인. 표제목 변형 「最近5事業年度に係る主要な財務指標」p115(5개년, 合算率 없음)+3개년 종목별표(10)p119(合算率 직접공시): FY2025 損害率63.8%/事業費率33.3%/合算率(合計행)97.0%. 단체SMR/ESR 행은 全FY 대시(－) — 주석 '2026年10月末の予定です', 미공표. PDF 폰트 인코딩 함정: 숫자/기호가 U+3EDC대 PUA로 +16044 오프셋 추출됨(디코더 필요, docs/domains/jp_esr_disclosure_template.md §10-7 참고)."
SOMPOひまわり生命保険,Sompo Himawari Life,生保,子会社,https://www.sompo-hd.com/ir/financial/highlights/himawari/,,not_yet,,,,,,2026-09-12,"모회사가 제공하는 단체 하이라이트 페이지 직접 확인(WebFetch) - 2026.3期 ESR 수치 게재 없음, '2027.3期 Q1 데이터 근일 게재예정' 문구만 확인"
第一生命ホールディングス,Dai-ichi Life Holdings,生保,HD上場,https://www.dai-ichi-life-hd.com/investor/,,not_yet,,,,,,2026-09-12,자사 健全性 페이지(WebFetch 직접확인) 문구: '2026年3月末時点の比率については、確定次第、開示' - 09-12 재확인 시점까지 정식 수치 미공표 상태. 2025-12(Q3) SM비율 831.8%만 게재
第一生命保険,Dai-ichi Life Insurance,生保,子会社,https://www.dai-ichi-life.co.jp/company/results/kenzensei/index.html,,not_yet,,,,,,2026-09-12,"HD와 동일 페이지 공유, 単体도 '確定次第開示' 상태로 확인(WebFetch 직접확인)"
第一ネオ生命保険,Dai-ichi Neo Life,生保,子会社,,,not_yet,,,,,,2026-09-12,"실체는 ネオファースト生命(Neofirst Life)로 추정되며 第一フロンティア生命과는 별개 법인(자사 사이트에서 '2026-03-31 확정시 공시' 표명 확인, 정확 공식URL은 특정 못함 - 시간 제약)"
第一フロンティア生命保険,Dai-ichi Frontier Life,生保,子会社,https://www.d-frontier-life.co.jp/,,not_yet,,,,,,2026-09-12,"健全性 페이지 신규 확인(구SM비율·R&I AA등급 게재), 2026.3期 ESR 수치는 미게재"
T&Dホールディングス,T&D Holdings,生保,HD上場,https://www.td-holdings.co.jp/ir/,,posted,222,group,2026-03-31,https://www.td-holdings.co.jp/ir/document/results.html,決算短信(2026-05-15) / IR資料室 상설 페이지,2026-09-13,"2026-09-13 1차출처 교체. 종전 URL은 TDnet(release.tdnet.info) 경로로 게시 만료돼 404 — 만료 호스트는 1차 출처 금지(도메인 문서 §4c). 회사 IR 決算短信 상설 페이지로 교체. 수치 222%는 有報(EDINET S100Y9UP, 2026-06-11) 본문 「内部管理モデルによるＥＳＲは、222％」로 확인. ESR 225% 恒常 초과 시 추가환원 방침 병기(목표 레인지 133~225%)"
大同生命保険,Daido Life Insurance,生保,子会社,https://www.daido-life.co.jp/company/ir/disclosure/,,not_yet,,,,,,2026-09-12,"'2025-大同生命の現状'(disclosure/pdf/2025_all.pdf) 확인, 검색상 구지표 SM비율 1168.0%만 검출. ESR 수치는 미확인(문서 내부 미탐색, 시간 제약)"
太陽生命保険,Taiyo Life Insurance,生保,子会社,https://www.taiyo-seimei.co.jp/company/ir/disclosure/y2025.html,,not_yet,,,,,,2026-09-12,"연도별 디스클로저 페이지 확인(2025년판), ESR 수치는 미확인"
T&Dフィナンシャル生命保険,T&D Financial Life,生保,子会社,https://www.tdf-life.co.jp/,,not_yet,,,,,,2026-09-12,"신규 발견 URL. '2025 T&Dフィナンシャル生命の現状' 전자개시(2025-07-30) 확인, ESR 수치는 미확인"
ソニーフィナンシャルグループ,Sony Financial Group,生保,HD上場,https://www.sonyfg.co.jp/ja/ir/,,posted,177,group,2026-03-31,https://www.sonyfg.co.jp/ja/financial_info/results/sfgi_fy2025_4q_01.pdf,決算説明資料(2026-05-14),2026-09-12,"jesr_sources_2026Q1.csv 기존치(177%,2026-03-31) 재확인 시도 - WebFetch 403이나, 자회사 소니생명 단체치(162%)가 동일 자료군(260514 개시)에서 별도 확인되어 그룹치 신뢰 유지"
ソニー生命保険,Sony Life Insurance,生保,子会社,https://www.sonylife.co.jp/company/corporate/results/,,posted,162,solo,2026-03-31,https://www.sonylife.co.jp/company/news/2026/files/260514_ev-japanese.pdf,News Release - 経済価値資本・ESR(2026-05-14),2026-09-12,"전기(2025-03-31) 168%에서 하락. PDF 직접 텍스트추출은 실패했으나 검색결과에 원문 수치 인용 확인(162%, 전년168%)"
ソニー損害保険,Sony Non-Life,損保,子会社(ソニーFG),https://www.sonysonpo.co.jp/,https://www.sonysonpo.co.jp/company/fr05020.html,not_yet,,,,,,2026-09-12,"[중복행 주의] jp_insurers.csv 69번째 데이터행=24번째 데이터행(part1 담당범위)과 동일회사. 2026年1月末 시점 구기준 SMR=684.2%(스니펫 확인, 회계연도말 아닌 중간시점·구기준이라 FY2025 확정치로 사용 불가). FY2025(2026-03-31) 신기준 수치는 미확인."
かんぽ生命保険,Japan Post Insurance,生保,上場,https://www.jp-life.japanpost.jp/IR/,,posted,181,solo,2026-03-31,https://pdf.irpocket.com/C7181/fcDL/shwf/b6Hu.pdf,決算・経営方針説明会資料(2026-05-29),2026-09-13,"2026-09-13 수치 정정. 종전 220%는 「大量解約リスクを除いた場合」의 조정치였다 — 같은 자료 p35·p37 직접 확인: 「26.3末のESRは大量解約リスクの影響により181%1と、25.3末から15ポイント低下」, 適正水準 150~220%, 25.3末 新基準 196%·旧基準 204%. 有報(EDINET S100YD29, 2026-06-18) 본문도 「連結ソルベンシー・マージン比率(経済価値ベースのソルベンシー比率)は181％(監査未済の経済価値ベースのバランスシートに基づく暫定値)」로 일치. 220%는 참고치로 병기"
日本生命保険,Nippon Life Insurance,生保,相互会社,https://www.nissay.co.jp/kaisha/annai/gyoseki/kessan.html,,posted,195,group,2026-03-31,https://www.nissay.co.jp/sites/default/files/assets/news/files/kessan202605_gaiyo.pdf,2025年度決算の概要(2026-05),2026-09-13,"2026-09-13 1차출처 교체·수치 재확인. 종전 /kaisha/annai/kenzen/ 는 사이트 개편으로 404(현 경로는 /kaisha/gyoseki/). 決算概要 p8 직접 열람 — 「規制ESR(ソルベンシー・マージン比率) 連結195％・単体204％, 감독개입수준 100% 상회, 25년도 수치는 속보치」, 内部モデルESR 은 222%→195%. esr_pct 는 연결 기준 유지, 단체 204%는 참고"
住友生命保険,Sumitomo Life Insurance,生保,相互会社,https://www.sumitomolife.co.jp/about/company/disclosure/settlement/,,posted,197,group,2026-03-31,https://www.sumitomolife.co.jp/about/pdf/company/ir/settlement/260526.pdf,2025年度決算(案)説明用資料(2026-05-26),2026-09-12,"연결ESR 197%(속보치, 전기대비+19pt). 단체 수치는 미확인. PDF 직접 텍스트추출은 실패(이미지형 추정), 검색결과 인용으로 확인. jesr_sources_2026Q1.csv 舊치(184%,2025-09-30 H1)에서 갱신"
明治安田生命保険,Meiji Yasuda Life Insurance,生保,相互会社,https://www.meijiyasuda.co.jp/profile/corporate_info/disclosure/account/,,posted,208,group,2026-03-31,https://www.meijiyasuda.co.jp/profile/corporate_info/disclosure/data/,決算説明資料(2026年5月),2026-09-12,"그룹ESR 208%(2026-05 공표). jesr_sources_2026Q1.csv 舊치(216%,2025-03-31, FY2024)에서 갱신 - 신규제 재계산 가능성 있어 직접비교 주의"
富国生命保険,Fukoku Life Insurance,生保,相互会社,https://www.fukoku-life.co.jp/about/finance/,,posted,248.5,solo,2026-03-31,https://www.fukoku-life.co.jp/about/ir/news/upload/20260525_4.pdf,2025年度決算(案)説明資料(2026-05-26),2026-09-12,"연결ESR(내부모델)=244.7%, 단체ESR(내부모델)=248.5%(전년대비+6.9pt), 표준모델(규제속보치)=210%. esr_pct는 단체·내부모델 기준. jesr_sources_2026Q1.csv 舊치(260.9%,2025-09-30 H1)에서 갱신"
朝日生命保険,Asahi Life Insurance,生保,相互会社,https://www.asahi-life.co.jp/company/zaimu/,,posted,258.9,group,2026-03-31,https://www.asahi-life.co.jp/company/intro/kessan/pdf/20260526_1.pdf,2025年度決算説明資料(2026-05-26),2026-09-12,"그룹(내부관리기준) 258.9%. 경제가치기준 지급여력비율(규제기준,2026.3말) 별도 약242%로 추산 병기됨(속보치). jesr_sources_2026Q1.csv에는 미수록 상태였음 - 이번에 신규 확보"
フコクしんらい生命保険,Fukoku Shinrai Life,生保,子会社,,,not_yet,,,,,,2026-09-12,"富国生命 100%자회사, 독립 disclosure 페이지를 찾지 못함(검색으로도 미확인)"
オリックス生命保険,Orix Life Insurance,生保,子会社,https://www.orixlife.co.jp/about/results/rating.html,,not_yet,,,,,,2026-09-12,"격付け・SM비율 페이지 확인, ESR 수치는 미확인"
ライフネット生命保険,LifeNet Life Insurance,生保,上場,https://ir.lifenet-seimei.co.jp/,,posted,333,solo,2026-03-31,https://data.swcms.net/file/lifenet-corp/dam/jcr:e9412bb2-3fc0-45b2-9854-d619e11990bb/140120260513529356.pdf,決算短信〔IFRS〕(2026-05-13),2026-09-12,"외부감사 미완료 속보치(회사 명시, 확정치와 다를 수 있음). 상장 단독사"
楽天生命保険,Rakuten Life Insurance,生保,子会社,https://www.rakuten-life.co.jp/,,not_yet,,,,,,2026-09-12,자사 명시: '2025年度のESR数値は2026年10月公表予定' - 확인시점(09-12) 기준 아직 미공시
SBI生命保険,SBI Life Insurance,生保,子会社,https://www.sbilife.co.jp/corporate/disclosure.html,,not_yet,,,,,,2026-09-12,"FY2025(2026.3期)용 '2026_annual.pdf' 존재·다운로드 확인(5.2MB)되나 텍스트추출 결과 ESR/SM비율 수치 자체가 검출 안됨(이미지 위주 페이지 추정, 육안확인 필요)"
なないろ生命保険,Nanairo Life,生保,子会社,https://www.nanairolife.co.jp/,,not_yet,,,,,,2026-09-12,"신규 발견 URL. disclosure2025_all.pdf(FY2024용으로 추정) 확인됨, FY2025(2026-03-31)판·ESR 수치는 미확인. 朝日生命 100%자회사"
アフラック生命保険,Aflac Life Japan,生保,外資子会社,https://www.aflac.co.jp/corp/profile/highlight.html,,not_yet,,,,,,2026-09-12,구지표 SM비율 973.3%(2025-03) 확인. 'FY2026年3月期にESR初回報告を予定'라는 서술만 검출되어 09-12 시점 아직 미공시로 판단
メットライフ生命保険,MetLife Insurance Japan,生保,外資子会社,https://www.metlife.co.jp/about/results/indicator/,,not_yet,,,,,,2026-09-12,"健全性の指標 전용 페이지 발견했으나 WebFetch 403으로 직접내용 확인 실패. 검색상 구지표 SM비율 775.8%(2025-12)만 확인, ESR 수치 미확인"
プルデンシャル生命保険,Prudential Life Japan,生保,外資子会社,https://www.prudential.co.jp/,,not_yet,,,,,,2026-09-12,지주사 プルデンシャル・ホールディング・オブ・ジャパン(PHJ) 차원 그룹구조 확인되나 FY2025(2026.3期)판 ESR 수치 미확인(PHJ 최신 연차보고서 '現状2025'는 2024年度decision분까지만 검색됨)
ジブラルタ生命保険,Gibraltar Life,生保,外資子会社,https://www.gib-life.co.jp/,,not_yet,,,,,,2026-09-12,"위와 동일(PHJ그룹 산하), ESR 수치 미확인"
PGF生命,Prudential Gibraltar Financial Life,生保,外資子会社,https://www.pgf-life.co.jp/,,not_yet,,,,,,2026-09-12,"신규 발견 URL(위와 동일 PHJ그룹 산하), ESR 수치 미확인"
マニュライフ生命保険,Manulife Life Japan,生保,外資子会社,https://www.manulife.co.jp/,,not_yet,,,,,,2026-09-12,검색상 ESR 수치 미확인(제도설명 일반정보만 검출)
チューリッヒ生命保険,Zurich Life Japan,生保,外資子会社,https://www.zurichlife.co.jp/,https://www.zurichlife.co.jp/aboutus/disclosure,not_yet,,,,,,2026-09-12,"FY2025(2026-03) 개별 ESR 수치 미확인. 디스클로저 페이지 존재만 확인. 업계 전반 관측 패턴(본문 7~8월 공시, 신기준 SMR/ESR 10월 이연)에 근거한 잠정 판정 - 개별 PDF 미열람. 주의: 검색결과 상당수가 손보 계열 별법인 'チューリッヒ保険会社'와 혼재되어 나옴, 혼동 배제하고 생보(チューリッヒ生命)만 대상으로 함."
アクサ生命保険,AXA Life Japan,生保,外資子会社,https://www.axa.co.jp/,https://www.axa.co.jp/ir/performance-report/,not_yet,,,,,,2026-09-12,"IR 실적페이지만 확인, FY2025 디스클로저 문서·ESR 수치 개별 미열람. 패턴 기반 잠정 판정."
カーディフ生命保険,Cardiff Life,生保,外資子会社,https://life.cardif.co.jp/company/ir/,https://life.cardif.co.jp/company/ir/disclosure,not_yet,,,,https://life.cardif.co.jp/wp-content/uploads/sites/36/2026/07/A_Compa_IR_Disclosure_2026_all.pdf,ディスクロージャー誌(カーディフ生命の現状2026),2026-09-12,"본문 3종(all 85p/회사개요/데이터48p) 직접 PDF 열람, fitz 키워드스캔 완료. 'ESR/経済価値ベース/ソルベンシー・マージン比率/支払余力' 전부 0건(欧州ソルベンシーII 언급만 존재) - 법정 SMR수치표 자체를 못 찾음. 별책 존재 가능성 있으나 미발견."
エヌエヌ生命保険,NN Life Japan,生保,外資子会社,https://www.nnlife.co.jp/company/results,https://www.nnlife.co.jp/company/results,not_yet,,,,https://www.nnlife.co.jp/pdf/company/results/NNLJ_2025Disclosure_202607.pdf,"ディスクロージャー誌(エヌエヌ生命の現状2026, 2026-07-29 발행)",2026-09-12,"본문 95p 직접 PDF 열람 확인. p11/p42/p54: 신기준 SMR '当該数値に関しては、後日公表予定です', FY2025열은 신구기준 모두 공란(구기준은 2025年度末부터 폐지). FY2024 구기준 SMR=863.9%(참고치, FY2025 아님)."
FWD生命保険,FWD Life Japan,生保,外資子会社,https://www.fwdlife.co.jp/,https://www.fwdlife.co.jp/about-us/disclosure-archives/,not_yet,,,,,,2026-09-12,"디스클로저 아카이브 페이지 존재 확인(FY2023까지의 과거본만 검색 노출). FY2025(2026년3월기) 개별 문서 URL 특정 실패, 패턴 기반 잠정 판정."
クレディ・アグリコル生命保険,Credit Agricole Life Japan,生保,外資子会社,https://www.ca-life.jp/,https://www.ca-life.jp/about/account.html,not_yet,,,,https://www.ca-life.jp/documents/AnnualReport_2026.pdf,ディスクロージャー誌(クレディ・アグリコル生命の現状2026),2026-09-12,"본문 43p 직접 PDF 열람 확인. p5: '経済価値ベースのソルベンシー比率（規制ESR）...2026年10月に...開示する予定', p16: '2026年10月末までに更新いたします' 명시적으로 확인."
SBIプリズム少額短期保険,SBI Prism,生保,子会社(SBI),https://www.sbiprism.co.jp/corporate/company.html,https://www.sbiprism.co.jp/corporate/company.html,not_yet,,,,https://www.sbiprism.co.jp/pdf/sbiprism2026.pdf,ディスクロージャー資料(SBIプリズム少額短期保険の現状2026),2026-09-12,"본문 32p 직접 PDF 열람 확인. 少額短期保険業者로 신ESR/경제가치 규제 대상外 - 구식 R1~R4 산식 SMR=799.3%(2026-03-31 기준)만 공시, 'ESR/経済価値ベース' 키워드 0건. ESR 자체가 영구히 공시 대상이 아닐 가능성이 높음(구조적)."
みどり生命保険,Midori Life,生保,子会社,https://midori-life.com/company/disclosure/,https://midori-life.com/company/disclosure/,not_yet,,,,https://midori-life.com/images/pdf/733/%E3%81%BF%E3%81%A9%E3%82%8A%E7%94%9F%E5%91%BD%E3%81%AE%E7%8F%BE%E7%8A%B62025.pdf,"ディスクロージャー誌(みどり生命の現状2025=FY2024, 2025-07 발행)",2026-09-12,"FY2024판(현상2025)까지만 검색 노출·확인. FY2025(현상2026, 2026-07 발행 예상)판은 URL 특정 실패 - 통상 발행 관행상 이미 나왔을 가능성 있으나 미확인."
ニッセイ・ウェルス生命保険,Nissay Wealth Life,生保,子会社(日本生命),https://www.nw-life.co.jp/about/result/disclosure/,https://www.nw-life.co.jp/about/result/disclosure/,not_yet,,,,,,2026-09-12,"'アニュアルレポート2026(2025年度決算)' 발행 사실은 검색 스니펫으로 확인, 정확 PDF URL·ESR 수치 개별 미열람."
はなさく生命保険,Hanasaku Life,生保,子会社(日本生命),https://www.life8739.co.jp/,https://www.life8739.co.jp/company,not_yet,,,,,,2026-09-12,"'はなさくレポート2026' 2026-07-29 발행 사실은 검색 스니펫으로 확인, 정확 URL·ESR 수치 개별 미열람. FY2024 구기준 SMR=2,946.0%(2025-03-31, 참고치일 뿐 FY2025 아님)."
明治安田トラスト生命保険,Meiji Yasuda Trust Life,生保,子会社(明治安田),https://www.meijiyasuda-trustlife.co.jp/,,not_found,,,,,,2026-09-12,회사 홈페이지(meijiyasuda-trustlife.co.jp)는 확인됐으나 디스클로저 전용 페이지 URL을 검색으로 특정하지 못함 - 공시 페이지 자체를 못 찾음.
大樹生命保険,Taiju Life,生保,子会社(朝日生命),https://www.taiju-life.co.jp/corporate/,https://www.taiju-life.co.jp/corporate/ir/disclosure.htm,not_yet,,,,,,2026-09-12,'大樹生命の現状2025'(FY2024)까지 검색 확인. FY2025(2026)판·ESR 수치는 개별 미열람.
メディケア生命保険,Medicare Life,生保,外資子会社,https://www.medicarelife.com/company/,https://www.medicarelife.com/company/performance/disclosure/,not_yet,,,,,,2026-09-12,"FY2024판(현상2024, SMR=1,587.7%)까지 검색 확인. FY2025판·ESR 수치는 개별 미열람."
共栄火災海上保険,Kyoei Fire & Marine,損保,独立,https://www.kyoeikasai.co.jp/about/company/outline.html,https://www.kyoeikasai.co.jp/about/company/disclosure.html,not_yet,,,,,"ディスクロージャー誌(共栄火災の現状2026, 12,410KB)",2026-09-12,"본문(현상2026) 발행 확인(검색스니펫). '2026年3月期通期の連結ベースのソルベンシー・マージン比率の開示は2026年10月末を予定...100%は上回る見込み' 명시 확인(스니펫). FY2024 구기준 SMR=1,105.0%(2025-03-31, 참고치)."
アクサ損害保険,AXA Non-Life Japan,損保,外資子会社,https://www.axa-direct.co.jp/company/ir/,https://www.axa-direct.co.jp/company/ir/,not_yet,,,,,,2026-09-12,"공식 IR페이지만 확인, FY2025 디스클로저 문서·ESR 수치 개별 미열람."
アニコム損害保険,Anicom Insurance,損保,上場,https://www.anicom-sompo.co.jp/,https://www.anicom-sompo.co.jp/company/disclosure/,not_yet,,,,,,2026-09-12,"디스클로저 페이지 확인, FY2025 개별 ESR 수치 미열람. 모회사 アニコムホールディングス(8715, 상장)는 별도 그룹 IR 존재하나 확인 범위外."
AIG損害保険,AIG Non-Life Japan,損保,外資子会社,https://www.aig.co.jp/sonpo/company/disclosure,https://www.aig.co.jp/sonpo/company/disclosure,not_yet,,,,https://www.aig.co.jp/content/dam/aig/sonpo/jp/ja/documents/company/disclosures/aigsonpo_disclosure_2026.pdf,ディスクロージャー誌2026(제목·발행 확인),2026-09-12,"본문 존재는 페이지상 확인(제목 'ディスクロージャー誌2026【2025年4月1日〜2026年3月31日】', 표시용량 5.6MB). 실제 다운로드(curl)는 507,904바이트(약496KB)로 표시용량과 불일치 - 손상/불완전 다운로드로 의심되며 fitz 파싱도 0페이지로 실패. ESR 수치 직접 확인 못함 - 수동 재확인 필요."
エイチ・エス損害保険,HS Non-Life,損保,子会社,http://www.hs-sonpo.co.jp/company/ir/,http://www.hs-sonpo.co.jp/company/ir/,not_yet,,,,https://www.hs-sonpo.co.jp/img/disclosure_2026_supplement.pdf,ディスクロージャー2026別冊(ソルベンシー・マージン比率編),2026-09-12,"별책 'ソルベンシー・マージン比率編'(1.7MB)이 페이지상 이미 게시된 것으로 확인됐으나, 다운로드가 네트워크단에서 차단(curl 접속불가)돼 실제 수치를 직접 열람하지 못함 - posted 판정은 유보하고 not_yet으로 보수적 처리, 수동 확인 권장(가장 유력한 posted 후보)."
SBI損害保険,SBI Non-Life,損保,子会社(SBI),https://www.sbisonpo.co.jp/company/disclosure.html,https://www.sbisonpo.co.jp/company/disclosure.html,not_yet,,,,,,2026-09-12,"본문 섹션 목록(SBI_Disclosure2026_All.pdf 등)은 페이지상 확인, 정확 절대URL 접속 실패(curl http=000)·ESR 수치 미열람."
au損害保険,au Non-Life,損保,子会社(KDDI),https://www.au-sonpo.co.jp/corporate/disclosure/,https://www.au-sonpo.co.jp/corporate/disclosure/,posted,791.7,solo,2026-03-31,https://www.au-sonpo.co.jp/corporate/pdf/disclo_260730_4of5.pdf,"ディスクロージャー誌(au損保の現状2026, 업적데이터편, 2026-07-30 발행)",2026-09-12,"신기준(경제가치기준) 단체 ソルベンシー・マージン比率. PDF p21-22 직접 열람 확인: 적격자본(A)=9,278백만엔, 소요자본(B)=1,171백만엔, 비율(A/B)=791.7%. 라벨은 'ESR'이 아닌 신기준 'ソルベンシー・マージン比率'이나 동일한 경제가치기반 규제비율."
NTTドコモ損害保険,NTT Docomo Non-Life,損保,子会社(NTT),https://www.docomo-sompo.com/company/governance/disclosure/,https://www.docomo-sompo.com/company/governance/disclosure/,not_yet,,,,https://www.docomo-sompo.com/assets/docs/2026/01/disclosure/disclosure20260730.pdf,"ディスクロージャー誌(NTTドコモ損害保険の現状2026, 2026-07-30 발행)",2026-09-12,본문 40p 직접 PDF 열람 확인. p4/p9/p38: 'ソルベンシー・マージン比率は2026年10月に公表予定です' 명시(3개소).
キャピタル損害保険,Capital Non-Life,損保,子会社,https://www.capital-sonpo.co.jp/company/manual/index.html,https://www.capital-sonpo.co.jp/company/manual/index.html,not_yet,,,,https://www.capital-sonpo.co.jp/pdf/disc_2026-all.pdf,ディスクロージャー誌(キャピタル損害保険の現状2026),2026-09-12,본문 페이지 직접 열람 확인. 'ディスクロージャー誌別冊「ソルベンシー・マージン比率編」は、2026年10月末までに掲載予定です' 명시적으로 확인.
さくら損害保険,Sakura Non-Life,損保,子会社,https://www.sakura-ins.co.jp/company/disclosure.php,https://www.sakura-ins.co.jp/company/disclosure.php,not_yet,,,,,,2026-09-12,"'さくら損保の現状2026' 존재는 페이지상 확인됐으나 정확 절대URL 특정 실패, ESR 수치 미열람. FY2024 구기준 SMR=651.7%(참고치). 주의: 동명이인 소액단기보험사 'さくら少額短期保険株式会社'(sakura-ssi.co.jp, 별법인)와 혼동 금지 - jp_insurers.csv 대상은 정규 손보사(sakura-ins.co.jp)."
ジェイアイ傷害火災保険,JI Accidental Fire,損保,子会社,https://www.jihoken.co.jp/company/,https://www.jihoken.co.jp/company/library/,not_yet,,,,,,2026-09-12,"디스클로저 페이지(library) 존재 확인, FY2025(2026)판 개별 PDF·ESR 수치 미열람. 과거(2021년) SMR=2,195.1%(구기준, 참고치)."
